Time,DER_671_c_3_Watts,DER_671_c_3_Vars,DER_671_c_3_loc
1672552795,4773.0,0.0,tlx_671_c_h_3
1672552800,4041.0,0.0,tlx_671_c_h_3
1672552805,4179.0,0.0,tlx_671_c_h_3
1672552810,3354.0,0.0,tlx_671_c_h_3
1672552815,4368.0,0.0,tlx_671_c_h_3
1672552820,4361.0,0.0,tlx_671_c_h_3
1672552825,4210.0,0.0,tlx_671_c_h_3
1672552830,4782.0,0.0,tlx_671_c_h_3
1672552835,3887.0,0.0,tlx_671_c_h_3
1672552840,4450.0,0.0,tlx_671_c_h_3
1672552845,4685.0,0.0,tlx_671_c_h_3
1672552850,4199.0,0.0,tlx_671_c_h_3
1672552855,3075.0,0.0,tlx_671_c_h_3
1672552860,4317.0,0.0,tlx_671_c_h_3
1672552865,4677.0,0.0,tlx_671_c_h_3
1672552870,4684.0,0.0,tlx_671_c_h_3
1672552875,3207.0,0.0,tlx_671_c_h_3
1672552880,4863.0,0.0,tlx_671_c_h_3
1672552885,4227.0,0.0,tlx_671_c_h_3
1672552890,4374.0,0.0,tlx_671_c_h_3
1672552895,4460.0,0.0,tlx_671_c_h_3
1672552900,3348.0,0.0,tlx_671_c_h_3
1672552905,3194.0,0.0,tlx_671_c_h_3
1672552910,4537.0,0.0,tlx_671_c_h_3
1672552915,4930.0,0.0,tlx_671_c_h_3
1672552920,3297.0,0.0,tlx_671_c_h_3
1672552925,3762.0,0.0,tlx_671_c_h_3
1672552930,3307.0,0.0,tlx_671_c_h_3
1672552935,3307.0,0.0,tlx_671_c_h_3
1672552940,3311.0,0.0,tlx_671_c_h_3
1672552945,3130.0,0.0,tlx_671_c_h_3
1672552950,4155.0,0.0,tlx_671_c_h_3
1672552955,3749.0,0.0,tlx_671_c_h_3
1672552960,3611.0,0.0,tlx_671_c_h_3
1672552965,3634.0,0.0,tlx_671_c_h_3
1672552970,3692.0,0.0,tlx_671_c_h_3
1672552975,4983.0,0.0,tlx_671_c_h_3
1672552980,4776.0,0.0,tlx_671_c_h_3
1672552985,3438.0,0.0,tlx_671_c_h_3
1672552990,3495.0,0.0,tlx_671_c_h_3
1672552995,3343.0,0.0,tlx_671_c_h_3
1672553000,4095.0,0.0,tlx_671_c_h_3
1672553005,3884.0,0.0,tlx_671_c_h_3
1672553010,3181.0,0.0,tlx_671_c_h_3
1672553015,4139.0,0.0,tlx_671_c_h_3
1672553020,4668.0,0.0,tlx_671_c_h_3
1672553025,4654.0,0.0,tlx_671_c_h_3
1672553030,4951.0,0.0,tlx_671_c_h_3
1672553035,3855.0,0.0,tlx_671_c_h_3
1672553040,4074.0,0.0,tlx_671_c_h_3
1672553045,4055.0,0.0,tlx_671_c_h_3
1672553050,3198.0,0.0,tlx_671_c_h_3
1672553055,3281.0,0.0,tlx_671_c_h_3
1672553060,3489.0,0.0,tlx_671_c_h_3
1672553065,3587.0,0.0,tlx_671_c_h_3
1672553070,3459.0,0.0,tlx_671_c_h_3
1672553075,3580.0,0.0,tlx_671_c_h_3
1672553080,4786.0,0.0,tlx_671_c_h_3
1672553085,3313.0,0.0,tlx_671_c_h_3
1672553090,3875.0,0.0,tlx_671_c_h_3
1672553095,3930.0,0.0,tlx_671_c_h_3
1672553100,3698.0,0.0,tlx_671_c_h_3
1672553105,3010.0,0.0,tlx_671_c_h_3
1672553110,4162.0,0.0,tlx_671_c_h_3
1672553115,4191.0,0.0,tlx_671_c_h_3
1672553120,3047.0,0.0,tlx_671_c_h_3
1672553125,4552.0,0.0,tlx_671_c_h_3
1672553130,3755.0,0.0,tlx_671_c_h_3
1672553135,4376.0,0.0,tlx_671_c_h_3
1672553140,4088.0,0.0,tlx_671_c_h_3
1672553145,3772.0,0.0,tlx_671_c_h_3
1672553150,3381.0,0.0,tlx_671_c_h_3
1672553155,3610.0,0.0,tlx_671_c_h_3
1672553160,4187.0,0.0,tlx_671_c_h_3
1672553165,3864.0,0.0,tlx_671_c_h_3
1672553170,3813.0,0.0,tlx_671_c_h_3
1672553175,4243.0,0.0,tlx_671_c_h_3
1672553180,4496.0,0.0,tlx_671_c_h_3
1672553185,4847.0,0.0,tlx_671_c_h_3
1672553190,4812.0,0.0,tlx_671_c_h_3
1672553195,4864.0,0.0,tlx_671_c_h_3
1672553200,4081.0,0.0,tlx_671_c_h_3
1672553205,3249.0,0.0,tlx_671_c_h_3
1672553210,3076.0,0.0,tlx_671_c_h_3
1672553215,4413.0,0.0,tlx_671_c_h_3
1672553220,3137.0,0.0,tlx_671_c_h_3
1672553225,4642.0,0.0,tlx_671_c_h_3
1672553230,3658.0,0.0,tlx_671_c_h_3
1672553235,3893.0,0.0,tlx_671_c_h_3
1672553240,4609.0,0.0,tlx_671_c_h_3
1672553245,4367.0,0.0,tlx_671_c_h_3
1672553250,3915.0,0.0,tlx_671_c_h_3
1672553255,4124.0,0.0,tlx_671_c_h_3
1672553260,3858.0,0.0,tlx_671_c_h_3
1672553265,3679.0,0.0,tlx_671_c_h_3
1672553270,4460.0,0.0,tlx_671_c_h_3
1672553275,4739.0,0.0,tlx_671_c_h_3
1672553280,4480.0,0.0,tlx_671_c_h_3
1672553285,4453.0,0.0,tlx_671_c_h_3
1672553290,3181.0,0.0,tlx_671_c_h_3
1672553295,4865.0,0.0,tlx_671_c_h_3
1672553300,3229.0,0.0,tlx_671_c_h_3
1672553305,3490.0,0.0,tlx_671_c_h_3
1672553310,3926.0,0.0,tlx_671_c_h_3
1672553315,4815.0,0.0,tlx_671_c_h_3
1672553320,4256.0,0.0,tlx_671_c_h_3
1672553325,4875.0,0.0,tlx_671_c_h_3
1672553330,3077.0,0.0,tlx_671_c_h_3
1672553335,3811.0,0.0,tlx_671_c_h_3
1672553340,3862.0,0.0,tlx_671_c_h_3
1672553345,3369.0,0.0,tlx_671_c_h_3
1672553350,4167.0,0.0,tlx_671_c_h_3
1672553355,4192.0,0.0,tlx_671_c_h_3
1672553360,3009.0,0.0,tlx_671_c_h_3
1672553365,3401.0,0.0,tlx_671_c_h_3
1672553370,4576.0,0.0,tlx_671_c_h_3
1672553375,3846.0,0.0,tlx_671_c_h_3
1672553380,3787.0,0.0,tlx_671_c_h_3
1672553385,3515.0,0.0,tlx_671_c_h_3
1672553390,3085.0,0.0,tlx_671_c_h_3
1672553395,3851.0,0.0,tlx_671_c_h_3
1672553400,4910.0,0.0,tlx_671_c_h_3
1672553405,4728.0,0.0,tlx_671_c_h_3
1672553410,4251.0,0.0,tlx_671_c_h_3
1672553415,4190.0,0.0,tlx_671_c_h_3
1672553420,3248.0,0.0,tlx_671_c_h_3
1672553425,3418.0,0.0,tlx_671_c_h_3
1672553430,3950.0,0.0,tlx_671_c_h_3
1672553435,4998.0,0.0,tlx_671_c_h_3
1672553440,3072.0,0.0,tlx_671_c_h_3
1672553445,4821.0,0.0,tlx_671_c_h_3
1672553450,3270.0,0.0,tlx_671_c_h_3
1672553455,3250.0,0.0,tlx_671_c_h_3
1672553460,4281.0,0.0,tlx_671_c_h_3
1672553465,3086.0,0.0,tlx_671_c_h_3
1672553470,4804.0,0.0,tlx_671_c_h_3
