Time,DER_692_a_4_Watts,DER_692_a_4_Vars,DER_692_a_4_loc
1672552795,4473.0,0.0,tlx_692_a_h_4
1672552800,4020.0,0.0,tlx_692_a_h_4
1672552805,3403.0,0.0,tlx_692_a_h_4
1672552810,4872.0,0.0,tlx_692_a_h_4
1672552815,4283.0,0.0,tlx_692_a_h_4
1672552820,4849.0,0.0,tlx_692_a_h_4
1672552825,4564.0,0.0,tlx_692_a_h_4
1672552830,4800.0,0.0,tlx_692_a_h_4
1672552835,4204.0,0.0,tlx_692_a_h_4
1672552840,3240.0,0.0,tlx_692_a_h_4
1672552845,4737.0,0.0,tlx_692_a_h_4
1672552850,3052.0,0.0,tlx_692_a_h_4
1672552855,3751.0,0.0,tlx_692_a_h_4
1672552860,4840.0,0.0,tlx_692_a_h_4
1672552865,4201.0,0.0,tlx_692_a_h_4
1672552870,3627.0,0.0,tlx_692_a_h_4
1672552875,4349.0,0.0,tlx_692_a_h_4
1672552880,4923.0,0.0,tlx_692_a_h_4
1672552885,4831.0,0.0,tlx_692_a_h_4
1672552890,3595.0,0.0,tlx_692_a_h_4
1672552895,4282.0,0.0,tlx_692_a_h_4
1672552900,4633.0,0.0,tlx_692_a_h_4
1672552905,3396.0,0.0,tlx_692_a_h_4
1672552910,4127.0,0.0,tlx_692_a_h_4
1672552915,4718.0,0.0,tlx_692_a_h_4
1672552920,3974.0,0.0,tlx_692_a_h_4
1672552925,3548.0,0.0,tlx_692_a_h_4
1672552930,3282.0,0.0,tlx_692_a_h_4
1672552935,4942.0,0.0,tlx_692_a_h_4
1672552940,3404.0,0.0,tlx_692_a_h_4
1672552945,3437.0,0.0,tlx_692_a_h_4
1672552950,3890.0,0.0,tlx_692_a_h_4
1672552955,3016.0,0.0,tlx_692_a_h_4
1672552960,3340.0,0.0,tlx_692_a_h_4
1672552965,3596.0,0.0,tlx_692_a_h_4
1672552970,3670.0,0.0,tlx_692_a_h_4
1672552975,4438.0,0.0,tlx_692_a_h_4
1672552980,3462.0,0.0,tlx_692_a_h_4
1672552985,3753.0,0.0,tlx_692_a_h_4
1672552990,4768.0,0.0,tlx_692_a_h_4
1672552995,4485.0,0.0,tlx_692_a_h_4
1672553000,3358.0,0.0,tlx_692_a_h_4
1672553005,3589.0,0.0,tlx_692_a_h_4
1672553010,4968.0,0.0,tlx_692_a_h_4
1672553015,4235.0,0.0,tlx_692_a_h_4
1672553020,3257.0,0.0,tlx_692_a_h_4
1672553025,4594.0,0.0,tlx_692_a_h_4
1672553030,3264.0,0.0,tlx_692_a_h_4
1672553035,3607.0,0.0,tlx_692_a_h_4
1672553040,3090.0,0.0,tlx_692_a_h_4
1672553045,3825.0,0.0,tlx_692_a_h_4
1672553050,3228.0,0.0,tlx_692_a_h_4
1672553055,4628.0,0.0,tlx_692_a_h_4
1672553060,4738.0,0.0,tlx_692_a_h_4
1672553065,3127.0,0.0,tlx_692_a_h_4
1672553070,3888.0,0.0,tlx_692_a_h_4
1672553075,4809.0,0.0,tlx_692_a_h_4
1672553080,4341.0,0.0,tlx_692_a_h_4
1672553085,4034.0,0.0,tlx_692_a_h_4
1672553090,3304.0,0.0,tlx_692_a_h_4
1672553095,3932.0,0.0,tlx_692_a_h_4
1672553100,4848.0,0.0,tlx_692_a_h_4
1672553105,4603.0,0.0,tlx_692_a_h_4
1672553110,4835.0,0.0,tlx_692_a_h_4
1672553115,3547.0,0.0,tlx_692_a_h_4
1672553120,3420.0,0.0,tlx_692_a_h_4
1672553125,4656.0,0.0,tlx_692_a_h_4
1672553130,3196.0,0.0,tlx_692_a_h_4
1672553135,4540.0,0.0,tlx_692_a_h_4
1672553140,3350.0,0.0,tlx_692_a_h_4
1672553145,3290.0,0.0,tlx_692_a_h_4
1672553150,4696.0,0.0,tlx_692_a_h_4
1672553155,3377.0,0.0,tlx_692_a_h_4
1672553160,4164.0,0.0,tlx_692_a_h_4
1672553165,3717.0,0.0,tlx_692_a_h_4
1672553170,3112.0,0.0,tlx_692_a_h_4
1672553175,4610.0,0.0,tlx_692_a_h_4
1672553180,4994.0,0.0,tlx_692_a_h_4
1672553185,4648.0,0.0,tlx_692_a_h_4
1672553190,3147.0,0.0,tlx_692_a_h_4
1672553195,3320.0,0.0,tlx_692_a_h_4
1672553200,3386.0,0.0,tlx_692_a_h_4
1672553205,3219.0,0.0,tlx_692_a_h_4
1672553210,3211.0,0.0,tlx_692_a_h_4
1672553215,3343.0,0.0,tlx_692_a_h_4
1672553220,4982.0,0.0,tlx_692_a_h_4
1672553225,4703.0,0.0,tlx_692_a_h_4
1672553230,3328.0,0.0,tlx_692_a_h_4
1672553235,4852.0,0.0,tlx_692_a_h_4
1672553240,3490.0,0.0,tlx_692_a_h_4
1672553245,3094.0,0.0,tlx_692_a_h_4
1672553250,3182.0,0.0,tlx_692_a_h_4
1672553255,3931.0,0.0,tlx_692_a_h_4
1672553260,4271.0,0.0,tlx_692_a_h_4
1672553265,4897.0,0.0,tlx_692_a_h_4
1672553270,3874.0,0.0,tlx_692_a_h_4
1672553275,4087.0,0.0,tlx_692_a_h_4
1672553280,4969.0,0.0,tlx_692_a_h_4
1672553285,4630.0,0.0,tlx_692_a_h_4
1672553290,4705.0,0.0,tlx_692_a_h_4
1672553295,3782.0,0.0,tlx_692_a_h_4
1672553300,3925.0,0.0,tlx_692_a_h_4
1672553305,3839.0,0.0,tlx_692_a_h_4
