Time,DER_632_b_35_Watts,DER_632_b_35_Vars,DER_632_b_35_loc
1672552795,3765.0,0.0,tlx_632_b_h_35
1672552800,4344.0,0.0,tlx_632_b_h_35
1672552805,4061.0,0.0,tlx_632_b_h_35
1672552810,3094.0,0.0,tlx_632_b_h_35
1672552815,3432.0,0.0,tlx_632_b_h_35
1672552820,4512.0,0.0,tlx_632_b_h_35
1672552825,4427.0,0.0,tlx_632_b_h_35
1672552830,4864.0,0.0,tlx_632_b_h_35
1672552835,3514.0,0.0,tlx_632_b_h_35
1672552840,3761.0,0.0,tlx_632_b_h_35
1672552845,3104.0,0.0,tlx_632_b_h_35
1672552850,3462.0,0.0,tlx_632_b_h_35
1672552855,3405.0,0.0,tlx_632_b_h_35
1672552860,3259.0,0.0,tlx_632_b_h_35
1672552865,3456.0,0.0,tlx_632_b_h_35
1672552870,3164.0,0.0,tlx_632_b_h_35
1672552875,4475.0,0.0,tlx_632_b_h_35
1672552880,3536.0,0.0,tlx_632_b_h_35
1672552885,3455.0,0.0,tlx_632_b_h_35
1672552890,3127.0,0.0,tlx_632_b_h_35
1672552895,3070.0,0.0,tlx_632_b_h_35
1672552900,3002.0,0.0,tlx_632_b_h_35
1672552905,4596.0,0.0,tlx_632_b_h_35
1672552910,4217.0,0.0,tlx_632_b_h_35
1672552915,4756.0,0.0,tlx_632_b_h_35
1672552920,4024.0,0.0,tlx_632_b_h_35
1672552925,4241.0,0.0,tlx_632_b_h_35
1672552930,3898.0,0.0,tlx_632_b_h_35
1672552935,4100.0,0.0,tlx_632_b_h_35
1672552940,3299.0,0.0,tlx_632_b_h_35
1672552945,4874.0,0.0,tlx_632_b_h_35
1672552950,3972.0,0.0,tlx_632_b_h_35
1672552955,3668.0,0.0,tlx_632_b_h_35
1672552960,3871.0,0.0,tlx_632_b_h_35
1672552965,3859.0,0.0,tlx_632_b_h_35
1672552970,4803.0,0.0,tlx_632_b_h_35
1672552975,4005.0,0.0,tlx_632_b_h_35
1672552980,3023.0,0.0,tlx_632_b_h_35
1672552985,3295.0,0.0,tlx_632_b_h_35
1672552990,3529.0,0.0,tlx_632_b_h_35
1672552995,4789.0,0.0,tlx_632_b_h_35
1672553000,4605.0,0.0,tlx_632_b_h_35
1672553005,3149.0,0.0,tlx_632_b_h_35
1672553010,3388.0,0.0,tlx_632_b_h_35
1672553015,3787.0,0.0,tlx_632_b_h_35
1672553020,3717.0,0.0,tlx_632_b_h_35
1672553025,3176.0,0.0,tlx_632_b_h_35
1672553030,3383.0,0.0,tlx_632_b_h_35
1672553035,4163.0,0.0,tlx_632_b_h_35
1672553040,3757.0,0.0,tlx_632_b_h_35
