Time,DER_692_b_3_Watts,DER_692_b_3_Vars,DER_692_b_3_loc
1672552795,3479.0,0.0,tlx_692_b_h_3
1672552800,4753.0,0.0,tlx_692_b_h_3
1672552805,3620.0,0.0,tlx_692_b_h_3
1672552810,4048.0,0.0,tlx_692_b_h_3
1672552815,3499.0,0.0,tlx_692_b_h_3
1672552820,3221.0,0.0,tlx_692_b_h_3
1672552825,3039.0,0.0,tlx_692_b_h_3
1672552830,4071.0,0.0,tlx_692_b_h_3
1672552835,4231.0,0.0,tlx_692_b_h_3
1672552840,4245.0,0.0,tlx_692_b_h_3
1672552845,3561.0,0.0,tlx_692_b_h_3
1672552850,3442.0,0.0,tlx_692_b_h_3
1672552855,3476.0,0.0,tlx_692_b_h_3
1672552860,3759.0,0.0,tlx_692_b_h_3
1672552865,4243.0,0.0,tlx_692_b_h_3
1672552870,3343.0,0.0,tlx_692_b_h_3
1672552875,3251.0,0.0,tlx_692_b_h_3
1672552880,4860.0,0.0,tlx_692_b_h_3
1672552885,3928.0,0.0,tlx_692_b_h_3
1672552890,3057.0,0.0,tlx_692_b_h_3
1672552895,4290.0,0.0,tlx_692_b_h_3
1672552900,3000.0,0.0,tlx_692_b_h_3
1672552905,3486.0,0.0,tlx_692_b_h_3
1672552910,4084.0,0.0,tlx_692_b_h_3
1672552915,4650.0,0.0,tlx_692_b_h_3
1672552920,3927.0,0.0,tlx_692_b_h_3
1672552925,3900.0,0.0,tlx_692_b_h_3
1672552930,4796.0,0.0,tlx_692_b_h_3
1672552935,3675.0,0.0,tlx_692_b_h_3
1672552940,3624.0,0.0,tlx_692_b_h_3
1672552945,4691.0,0.0,tlx_692_b_h_3
1672552950,3417.0,0.0,tlx_692_b_h_3
1672552955,3858.0,0.0,tlx_692_b_h_3
1672552960,3859.0,0.0,tlx_692_b_h_3
1672552965,4073.0,0.0,tlx_692_b_h_3
1672552970,4557.0,0.0,tlx_692_b_h_3
1672552975,4493.0,0.0,tlx_692_b_h_3
1672552980,3667.0,0.0,tlx_692_b_h_3
1672552985,4540.0,0.0,tlx_692_b_h_3
1672552990,3711.0,0.0,tlx_692_b_h_3
1672552995,3580.0,0.0,tlx_692_b_h_3
1672553000,3668.0,0.0,tlx_692_b_h_3
1672553005,3538.0,0.0,tlx_692_b_h_3
1672553010,3515.0,0.0,tlx_692_b_h_3
1672553015,4373.0,0.0,tlx_692_b_h_3
1672553020,3904.0,0.0,tlx_692_b_h_3
1672553025,4236.0,0.0,tlx_692_b_h_3
1672553030,3166.0,0.0,tlx_692_b_h_3
1672553035,3144.0,0.0,tlx_692_b_h_3
1672553040,3611.0,0.0,tlx_692_b_h_3
1672553045,3705.0,0.0,tlx_692_b_h_3
1672553050,4448.0,0.0,tlx_692_b_h_3
1672553055,3077.0,0.0,tlx_692_b_h_3
1672553060,4849.0,0.0,tlx_692_b_h_3
1672553065,3615.0,0.0,tlx_692_b_h_3
1672553070,4698.0,0.0,tlx_692_b_h_3
1672553075,3835.0,0.0,tlx_692_b_h_3
1672553080,4254.0,0.0,tlx_692_b_h_3
1672553085,3375.0,0.0,tlx_692_b_h_3
1672553090,4298.0,0.0,tlx_692_b_h_3
1672553095,3293.0,0.0,tlx_692_b_h_3
1672553100,3067.0,0.0,tlx_692_b_h_3
1672553105,4058.0,0.0,tlx_692_b_h_3
1672553110,4147.0,0.0,tlx_692_b_h_3
1672553115,4008.0,0.0,tlx_692_b_h_3
1672553120,4712.0,0.0,tlx_692_b_h_3
1672553125,4286.0,0.0,tlx_692_b_h_3
1672553130,3258.0,0.0,tlx_692_b_h_3
1672553135,4564.0,0.0,tlx_692_b_h_3
1672553140,4848.0,0.0,tlx_692_b_h_3
1672553145,3034.0,0.0,tlx_692_b_h_3
1672553150,3855.0,0.0,tlx_692_b_h_3
1672553155,3902.0,0.0,tlx_692_b_h_3
1672553160,4017.0,0.0,tlx_692_b_h_3
1672553165,4266.0,0.0,tlx_692_b_h_3
1672553170,3263.0,0.0,tlx_692_b_h_3
1672553175,3485.0,0.0,tlx_692_b_h_3
1672553180,4168.0,0.0,tlx_692_b_h_3
1672553185,3109.0,0.0,tlx_692_b_h_3
1672553190,3221.0,0.0,tlx_692_b_h_3
1672553195,4756.0,0.0,tlx_692_b_h_3
1672553200,3297.0,0.0,tlx_692_b_h_3
1672553205,3063.0,0.0,tlx_692_b_h_3
1672553210,4922.0,0.0,tlx_692_b_h_3
1672553215,4330.0,0.0,tlx_692_b_h_3
