Time,DER_645_c_7_Watts,DER_645_c_7_Vars,DER_645_c_7_loc
1672552795,3978.0,0.0,tlx_645_c_h_7
1672552800,4931.0,0.0,tlx_645_c_h_7
1672552805,4164.0,0.0,tlx_645_c_h_7
1672552810,3002.0,0.0,tlx_645_c_h_7
1672552815,3387.0,0.0,tlx_645_c_h_7
1672552820,3462.0,0.0,tlx_645_c_h_7
1672552825,4464.0,0.0,tlx_645_c_h_7
1672552830,4832.0,0.0,tlx_645_c_h_7
1672552835,4394.0,0.0,tlx_645_c_h_7
1672552840,3123.0,0.0,tlx_645_c_h_7
1672552845,3499.0,0.0,tlx_645_c_h_7
1672552850,4844.0,0.0,tlx_645_c_h_7
1672552855,4807.0,0.0,tlx_645_c_h_7
1672552860,3546.0,0.0,tlx_645_c_h_7
1672552865,4568.0,0.0,tlx_645_c_h_7
1672552870,3165.0,0.0,tlx_645_c_h_7
1672552875,4837.0,0.0,tlx_645_c_h_7
1672552880,4001.0,0.0,tlx_645_c_h_7
1672552885,4174.0,0.0,tlx_645_c_h_7
1672552890,3211.0,0.0,tlx_645_c_h_7
1672552895,4707.0,0.0,tlx_645_c_h_7
1672552900,4196.0,0.0,tlx_645_c_h_7
1672552905,3465.0,0.0,tlx_645_c_h_7
1672552910,4707.0,0.0,tlx_645_c_h_7
1672552915,4217.0,0.0,tlx_645_c_h_7
1672552920,4802.0,0.0,tlx_645_c_h_7
1672552925,3802.0,0.0,tlx_645_c_h_7
1672552930,4803.0,0.0,tlx_645_c_h_7
1672552935,4453.0,0.0,tlx_645_c_h_7
1672552940,3083.0,0.0,tlx_645_c_h_7
1672552945,4804.0,0.0,tlx_645_c_h_7
1672552950,4580.0,0.0,tlx_645_c_h_7
1672552955,3706.0,0.0,tlx_645_c_h_7
1672552960,3852.0,0.0,tlx_645_c_h_7
1672552965,3991.0,0.0,tlx_645_c_h_7
1672552970,3731.0,0.0,tlx_645_c_h_7
1672552975,4928.0,0.0,tlx_645_c_h_7
1672552980,4194.0,0.0,tlx_645_c_h_7
1672552985,4603.0,0.0,tlx_645_c_h_7
1672552990,3996.0,0.0,tlx_645_c_h_7
1672552995,3111.0,0.0,tlx_645_c_h_7
1672553000,3190.0,0.0,tlx_645_c_h_7
1672553005,3515.0,0.0,tlx_645_c_h_7
1672553010,3630.0,0.0,tlx_645_c_h_7
1672553015,4344.0,0.0,tlx_645_c_h_7
1672553020,3906.0,0.0,tlx_645_c_h_7
1672553025,4527.0,0.0,tlx_645_c_h_7
1672553030,4549.0,0.0,tlx_645_c_h_7
1672553035,4713.0,0.0,tlx_645_c_h_7
1672553040,3373.0,0.0,tlx_645_c_h_7
1672553045,4988.0,0.0,tlx_645_c_h_7
1672553050,3994.0,0.0,tlx_645_c_h_7
1672553055,4312.0,0.0,tlx_645_c_h_7
