Time,DER_632_c_16_Watts,DER_632_c_16_Vars,DER_632_c_16_loc
1672552795,4927.0,0.0,tlx_632_c_h_16
1672552800,3014.0,0.0,tlx_632_c_h_16
1672552805,4272.0,0.0,tlx_632_c_h_16
1672552810,4933.0,0.0,tlx_632_c_h_16
1672552815,3901.0,0.0,tlx_632_c_h_16
1672552820,4395.0,0.0,tlx_632_c_h_16
1672552825,4864.0,0.0,tlx_632_c_h_16
1672552830,3570.0,0.0,tlx_632_c_h_16
1672552835,3318.0,0.0,tlx_632_c_h_16
1672552840,3213.0,0.0,tlx_632_c_h_16
1672552845,3838.0,0.0,tlx_632_c_h_16
1672552850,4298.0,0.0,tlx_632_c_h_16
1672552855,3587.0,0.0,tlx_632_c_h_16
1672552860,3383.0,0.0,tlx_632_c_h_16
1672552865,4701.0,0.0,tlx_632_c_h_16
1672552870,4798.0,0.0,tlx_632_c_h_16
1672552875,3266.0,0.0,tlx_632_c_h_16
1672552880,3592.0,0.0,tlx_632_c_h_16
1672552885,4070.0,0.0,tlx_632_c_h_16
1672552890,4575.0,0.0,tlx_632_c_h_16
1672552895,4494.0,0.0,tlx_632_c_h_16
1672552900,3737.0,0.0,tlx_632_c_h_16
1672552905,3625.0,0.0,tlx_632_c_h_16
1672552910,3686.0,0.0,tlx_632_c_h_16
1672552915,4687.0,0.0,tlx_632_c_h_16
1672552920,3851.0,0.0,tlx_632_c_h_16
1672552925,3734.0,0.0,tlx_632_c_h_16
1672552930,4368.0,0.0,tlx_632_c_h_16
1672552935,3908.0,0.0,tlx_632_c_h_16
1672552940,4217.0,0.0,tlx_632_c_h_16
1672552945,3070.0,0.0,tlx_632_c_h_16
1672552950,4450.0,0.0,tlx_632_c_h_16
1672552955,3146.0,0.0,tlx_632_c_h_16
1672552960,4698.0,0.0,tlx_632_c_h_16
1672552965,3906.0,0.0,tlx_632_c_h_16
1672552970,3283.0,0.0,tlx_632_c_h_16
1672552975,4429.0,0.0,tlx_632_c_h_16
1672552980,4154.0,0.0,tlx_632_c_h_16
1672552985,4321.0,0.0,tlx_632_c_h_16
1672552990,3031.0,0.0,tlx_632_c_h_16
1672552995,4263.0,0.0,tlx_632_c_h_16
1672553000,4492.0,0.0,tlx_632_c_h_16
1672553005,4499.0,0.0,tlx_632_c_h_16
1672553010,3178.0,0.0,tlx_632_c_h_16
1672553015,3087.0,0.0,tlx_632_c_h_16
1672553020,3911.0,0.0,tlx_632_c_h_16
1672553025,3926.0,0.0,tlx_632_c_h_16
1672553030,4729.0,0.0,tlx_632_c_h_16
1672553035,4152.0,0.0,tlx_632_c_h_16
1672553040,3107.0,0.0,tlx_632_c_h_16
1672553045,3173.0,0.0,tlx_632_c_h_16
1672553050,4894.0,0.0,tlx_632_c_h_16
1672553055,3385.0,0.0,tlx_632_c_h_16
1672553060,4721.0,0.0,tlx_632_c_h_16
1672553065,4016.0,0.0,tlx_632_c_h_16
1672553070,4754.0,0.0,tlx_632_c_h_16
1672553075,4001.0,0.0,tlx_632_c_h_16
1672553080,3020.0,0.0,tlx_632_c_h_16
1672553085,3294.0,0.0,tlx_632_c_h_16
1672553090,4716.0,0.0,tlx_632_c_h_16
1672553095,4400.0,0.0,tlx_632_c_h_16
1672553100,4451.0,0.0,tlx_632_c_h_16
1672553105,3828.0,0.0,tlx_632_c_h_16
1672553110,3111.0,0.0,tlx_632_c_h_16
1672553115,4115.0,0.0,tlx_632_c_h_16
1672553120,3394.0,0.0,tlx_632_c_h_16
1672553125,4860.0,0.0,tlx_632_c_h_16
1672553130,4042.0,0.0,tlx_632_c_h_16
1672553135,3080.0,0.0,tlx_632_c_h_16
1672553140,4334.0,0.0,tlx_632_c_h_16
1672553145,4761.0,0.0,tlx_632_c_h_16
1672553150,4921.0,0.0,tlx_632_c_h_16
1672553155,4161.0,0.0,tlx_632_c_h_16
1672553160,4865.0,0.0,tlx_632_c_h_16
1672553165,3558.0,0.0,tlx_632_c_h_16
1672553170,4948.0,0.0,tlx_632_c_h_16
1672553175,3216.0,0.0,tlx_632_c_h_16
1672553180,4920.0,0.0,tlx_632_c_h_16
1672553185,4457.0,0.0,tlx_632_c_h_16
1672553190,4375.0,0.0,tlx_632_c_h_16
1672553195,4853.0,0.0,tlx_632_c_h_16
1672553200,3519.0,0.0,tlx_632_c_h_16
1672553205,4195.0,0.0,tlx_632_c_h_16
1672553210,4418.0,0.0,tlx_632_c_h_16
1672553215,4836.0,0.0,tlx_632_c_h_16
1672553220,3680.0,0.0,tlx_632_c_h_16
1672553225,4330.0,0.0,tlx_632_c_h_16
1672553230,3179.0,0.0,tlx_632_c_h_16
1672553235,3342.0,0.0,tlx_632_c_h_16
1672553240,3901.0,0.0,tlx_632_c_h_16
1672553245,3665.0,0.0,tlx_632_c_h_16
1672553250,3516.0,0.0,tlx_632_c_h_16
1672553255,4896.0,0.0,tlx_632_c_h_16
1672553260,4584.0,0.0,tlx_632_c_h_16
1672553265,3103.0,0.0,tlx_632_c_h_16
1672553270,3266.0,0.0,tlx_632_c_h_16
1672553275,4776.0,0.0,tlx_632_c_h_16
1672553280,3491.0,0.0,tlx_632_c_h_16
1672553285,4988.0,0.0,tlx_632_c_h_16
1672553290,3559.0,0.0,tlx_632_c_h_16
1672553295,4350.0,0.0,tlx_632_c_h_16
1672553300,3333.0,0.0,tlx_632_c_h_16
1672553305,4014.0,0.0,tlx_632_c_h_16
1672553310,3904.0,0.0,tlx_632_c_h_16
1672553315,4820.0,0.0,tlx_632_c_h_16
1672553320,4292.0,0.0,tlx_632_c_h_16
1672553325,4665.0,0.0,tlx_632_c_h_16
1672553330,3019.0,0.0,tlx_632_c_h_16
1672553335,3148.0,0.0,tlx_632_c_h_16
1672553340,4421.0,0.0,tlx_632_c_h_16
1672553345,4763.0,0.0,tlx_632_c_h_16
1672553350,3280.0,0.0,tlx_632_c_h_16
1672553355,3519.0,0.0,tlx_632_c_h_16
1672553360,4581.0,0.0,tlx_632_c_h_16
1672553365,4590.0,0.0,tlx_632_c_h_16
1672553370,3736.0,0.0,tlx_632_c_h_16
1672553375,3643.0,0.0,tlx_632_c_h_16
1672553380,3152.0,0.0,tlx_632_c_h_16
1672553385,4811.0,0.0,tlx_632_c_h_16
1672553390,4358.0,0.0,tlx_632_c_h_16
1672553395,3564.0,0.0,tlx_632_c_h_16
1672553400,4978.0,0.0,tlx_632_c_h_16
1672553405,4876.0,0.0,tlx_632_c_h_16
1672553410,3275.0,0.0,tlx_632_c_h_16
1672553415,3448.0,0.0,tlx_632_c_h_16
1672553420,4228.0,0.0,tlx_632_c_h_16
1672553425,3435.0,0.0,tlx_632_c_h_16
1672553430,3410.0,0.0,tlx_632_c_h_16
1672553435,4019.0,0.0,tlx_632_c_h_16
1672553440,3838.0,0.0,tlx_632_c_h_16
1672553445,4301.0,0.0,tlx_632_c_h_16
1672553450,3528.0,0.0,tlx_632_c_h_16
1672553455,3283.0,0.0,tlx_632_c_h_16
1672553460,4664.0,0.0,tlx_632_c_h_16
1672553465,3007.0,0.0,tlx_632_c_h_16
1672553470,4284.0,0.0,tlx_632_c_h_16
1672553475,4065.0,0.0,tlx_632_c_h_16
1672553480,4866.0,0.0,tlx_632_c_h_16
1672553485,3248.0,0.0,tlx_632_c_h_16
1672553490,4387.0,0.0,tlx_632_c_h_16
1672553495,3273.0,0.0,tlx_632_c_h_16
1672553500,4984.0,0.0,tlx_632_c_h_16
1672553505,4646.0,0.0,tlx_632_c_h_16
1672553510,3526.0,0.0,tlx_632_c_h_16
1672553515,4747.0,0.0,tlx_632_c_h_16
1672553520,4705.0,0.0,tlx_632_c_h_16
1672553525,4382.0,0.0,tlx_632_c_h_16
1672553530,4019.0,0.0,tlx_632_c_h_16
1672553535,4962.0,0.0,tlx_632_c_h_16
1672553540,4680.0,0.0,tlx_632_c_h_16
1672553545,4265.0,0.0,tlx_632_c_h_16
1672553550,4241.0,0.0,tlx_632_c_h_16
1672553555,4380.0,0.0,tlx_632_c_h_16
1672553560,3620.0,0.0,tlx_632_c_h_16
1672553565,3794.0,0.0,tlx_632_c_h_16
1672553570,4506.0,0.0,tlx_632_c_h_16
1672553575,4126.0,0.0,tlx_632_c_h_16
1672553580,3059.0,0.0,tlx_632_c_h_16
1672553585,4303.0,0.0,tlx_632_c_h_16
1672553590,3326.0,0.0,tlx_632_c_h_16
1672553595,3194.0,0.0,tlx_632_c_h_16
1672553600,3448.0,0.0,tlx_632_c_h_16
1672553605,4958.0,0.0,tlx_632_c_h_16
1672553610,4624.0,0.0,tlx_632_c_h_16
1672553615,4894.0,0.0,tlx_632_c_h_16
1672553620,4497.0,0.0,tlx_632_c_h_16
1672553625,4123.0,0.0,tlx_632_c_h_16
1672553630,3006.0,0.0,tlx_632_c_h_16
1672553635,3592.0,0.0,tlx_632_c_h_16
1672553640,3470.0,0.0,tlx_632_c_h_16
1672553645,3577.0,0.0,tlx_632_c_h_16
1672553650,4812.0,0.0,tlx_632_c_h_16
