Time,DER_632_a_31_Watts,DER_632_a_31_Vars,DER_632_a_31_loc
1672552795,4011.0,0.0,tlx_632_a_h_31
1672552800,3069.0,0.0,tlx_632_a_h_31
1672552805,3925.0,0.0,tlx_632_a_h_31
1672552810,4782.0,0.0,tlx_632_a_h_31
1672552815,3067.0,0.0,tlx_632_a_h_31
1672552820,3938.0,0.0,tlx_632_a_h_31
1672552825,4974.0,0.0,tlx_632_a_h_31
1672552830,3962.0,0.0,tlx_632_a_h_31
1672552835,4715.0,0.0,tlx_632_a_h_31
1672552840,4700.0,0.0,tlx_632_a_h_31
1672552845,4226.0,0.0,tlx_632_a_h_31
1672552850,3141.0,0.0,tlx_632_a_h_31
1672552855,3904.0,0.0,tlx_632_a_h_31
1672552860,3738.0,0.0,tlx_632_a_h_31
1672552865,3204.0,0.0,tlx_632_a_h_31
1672552870,3238.0,0.0,tlx_632_a_h_31
1672552875,4110.0,0.0,tlx_632_a_h_31
1672552880,4048.0,0.0,tlx_632_a_h_31
1672552885,4384.0,0.0,tlx_632_a_h_31
1672552890,4687.0,0.0,tlx_632_a_h_31
1672552895,3704.0,0.0,tlx_632_a_h_31
1672552900,4728.0,0.0,tlx_632_a_h_31
1672552905,3295.0,0.0,tlx_632_a_h_31
1672552910,4848.0,0.0,tlx_632_a_h_31
1672552915,3184.0,0.0,tlx_632_a_h_31
1672552920,4674.0,0.0,tlx_632_a_h_31
1672552925,4682.0,0.0,tlx_632_a_h_31
1672552930,3307.0,0.0,tlx_632_a_h_31
1672552935,3370.0,0.0,tlx_632_a_h_31
1672552940,3138.0,0.0,tlx_632_a_h_31
1672552945,3679.0,0.0,tlx_632_a_h_31
1672552950,3719.0,0.0,tlx_632_a_h_31
1672552955,4735.0,0.0,tlx_632_a_h_31
1672552960,4817.0,0.0,tlx_632_a_h_31
1672552965,4931.0,0.0,tlx_632_a_h_31
1672552970,3155.0,0.0,tlx_632_a_h_31
1672552975,4298.0,0.0,tlx_632_a_h_31
1672552980,3982.0,0.0,tlx_632_a_h_31
1672552985,3373.0,0.0,tlx_632_a_h_31
1672552990,4213.0,0.0,tlx_632_a_h_31
1672552995,4961.0,0.0,tlx_632_a_h_31
1672553000,4762.0,0.0,tlx_632_a_h_31
1672553005,4024.0,0.0,tlx_632_a_h_31
1672553010,4939.0,0.0,tlx_632_a_h_31
1672553015,3949.0,0.0,tlx_632_a_h_31
1672553020,3690.0,0.0,tlx_632_a_h_31
1672553025,3801.0,0.0,tlx_632_a_h_31
1672553030,3931.0,0.0,tlx_632_a_h_31
1672553035,4848.0,0.0,tlx_632_a_h_31
1672553040,3577.0,0.0,tlx_632_a_h_31
1672553045,4729.0,0.0,tlx_632_a_h_31
1672553050,3121.0,0.0,tlx_632_a_h_31
1672553055,3966.0,0.0,tlx_632_a_h_31
1672553060,3820.0,0.0,tlx_632_a_h_31
1672553065,4350.0,0.0,tlx_632_a_h_31
1672553070,4982.0,0.0,tlx_632_a_h_31
1672553075,4618.0,0.0,tlx_632_a_h_31
1672553080,4655.0,0.0,tlx_632_a_h_31
1672553085,4135.0,0.0,tlx_632_a_h_31
1672553090,4004.0,0.0,tlx_632_a_h_31
1672553095,4435.0,0.0,tlx_632_a_h_31
1672553100,4390.0,0.0,tlx_632_a_h_31
1672553105,3524.0,0.0,tlx_632_a_h_31
1672553110,4894.0,0.0,tlx_632_a_h_31
1672553115,3738.0,0.0,tlx_632_a_h_31
1672553120,4780.0,0.0,tlx_632_a_h_31
1672553125,3148.0,0.0,tlx_632_a_h_31
1672553130,3835.0,0.0,tlx_632_a_h_31
1672553135,4223.0,0.0,tlx_632_a_h_31
1672553140,4916.0,0.0,tlx_632_a_h_31
1672553145,4528.0,0.0,tlx_632_a_h_31
1672553150,3474.0,0.0,tlx_632_a_h_31
1672553155,4356.0,0.0,tlx_632_a_h_31
1672553160,3208.0,0.0,tlx_632_a_h_31
1672553165,4697.0,0.0,tlx_632_a_h_31
1672553170,4500.0,0.0,tlx_632_a_h_31
1672553175,4339.0,0.0,tlx_632_a_h_31
1672553180,4873.0,0.0,tlx_632_a_h_31
1672553185,4209.0,0.0,tlx_632_a_h_31
1672553190,4066.0,0.0,tlx_632_a_h_31
1672553195,3333.0,0.0,tlx_632_a_h_31
1672553200,3143.0,0.0,tlx_632_a_h_31
1672553205,4790.0,0.0,tlx_632_a_h_31
1672553210,4220.0,0.0,tlx_632_a_h_31
1672553215,4683.0,0.0,tlx_632_a_h_31
1672553220,4890.0,0.0,tlx_632_a_h_31
1672553225,4982.0,0.0,tlx_632_a_h_31
1672553230,4271.0,0.0,tlx_632_a_h_31
1672553235,4277.0,0.0,tlx_632_a_h_31
1672553240,3436.0,0.0,tlx_632_a_h_31
1672553245,3342.0,0.0,tlx_632_a_h_31
1672553250,4309.0,0.0,tlx_632_a_h_31
1672553255,4364.0,0.0,tlx_632_a_h_31
1672553260,4279.0,0.0,tlx_632_a_h_31
1672553265,4478.0,0.0,tlx_632_a_h_31
1672553270,4601.0,0.0,tlx_632_a_h_31
1672553275,3707.0,0.0,tlx_632_a_h_31
1672553280,4508.0,0.0,tlx_632_a_h_31
1672553285,3685.0,0.0,tlx_632_a_h_31
1672553290,3192.0,0.0,tlx_632_a_h_31
1672553295,4094.0,0.0,tlx_632_a_h_31
1672553300,3044.0,0.0,tlx_632_a_h_31
1672553305,3897.0,0.0,tlx_632_a_h_31
1672553310,4082.0,0.0,tlx_632_a_h_31
1672553315,3994.0,0.0,tlx_632_a_h_31
1672553320,3297.0,0.0,tlx_632_a_h_31
1672553325,4071.0,0.0,tlx_632_a_h_31
1672553330,4891.0,0.0,tlx_632_a_h_31
1672553335,4991.0,0.0,tlx_632_a_h_31
1672553340,3846.0,0.0,tlx_632_a_h_31
1672553345,4540.0,0.0,tlx_632_a_h_31
1672553350,4887.0,0.0,tlx_632_a_h_31
1672553355,4232.0,0.0,tlx_632_a_h_31
1672553360,3563.0,0.0,tlx_632_a_h_31
1672553365,4242.0,0.0,tlx_632_a_h_31
1672553370,4376.0,0.0,tlx_632_a_h_31
1672553375,5000.0,0.0,tlx_632_a_h_31
1672553380,4846.0,0.0,tlx_632_a_h_31
1672553385,3973.0,0.0,tlx_632_a_h_31
1672553390,3608.0,0.0,tlx_632_a_h_31
1672553395,3367.0,0.0,tlx_632_a_h_31
1672553400,4189.0,0.0,tlx_632_a_h_31
1672553405,3266.0,0.0,tlx_632_a_h_31
1672553410,3258.0,0.0,tlx_632_a_h_31
1672553415,3999.0,0.0,tlx_632_a_h_31
1672553420,3018.0,0.0,tlx_632_a_h_31
1672553425,4220.0,0.0,tlx_632_a_h_31
1672553430,4232.0,0.0,tlx_632_a_h_31
1672553435,4031.0,0.0,tlx_632_a_h_31
1672553440,4654.0,0.0,tlx_632_a_h_31
1672553445,4672.0,0.0,tlx_632_a_h_31
1672553450,4004.0,0.0,tlx_632_a_h_31
1672553455,4836.0,0.0,tlx_632_a_h_31
1672553460,4945.0,0.0,tlx_632_a_h_31
1672553465,4197.0,0.0,tlx_632_a_h_31
1672553470,4246.0,0.0,tlx_632_a_h_31
1672553475,3401.0,0.0,tlx_632_a_h_31
1672553480,4003.0,0.0,tlx_632_a_h_31
1672553485,4334.0,0.0,tlx_632_a_h_31
1672553490,3089.0,0.0,tlx_632_a_h_31
1672553495,3306.0,0.0,tlx_632_a_h_31
1672553500,4500.0,0.0,tlx_632_a_h_31
1672553505,3331.0,0.0,tlx_632_a_h_31
1672553510,4352.0,0.0,tlx_632_a_h_31
1672553515,4201.0,0.0,tlx_632_a_h_31
1672553520,4450.0,0.0,tlx_632_a_h_31
1672553525,3358.0,0.0,tlx_632_a_h_31
1672553530,4145.0,0.0,tlx_632_a_h_31
1672553535,4597.0,0.0,tlx_632_a_h_31
1672553540,3772.0,0.0,tlx_632_a_h_31
1672553545,3291.0,0.0,tlx_632_a_h_31
1672553550,3492.0,0.0,tlx_632_a_h_31
1672553555,4478.0,0.0,tlx_632_a_h_31
1672553560,3687.0,0.0,tlx_632_a_h_31
1672553565,3488.0,0.0,tlx_632_a_h_31
1672553570,4703.0,0.0,tlx_632_a_h_31
1672553575,3663.0,0.0,tlx_632_a_h_31
1672553580,4439.0,0.0,tlx_632_a_h_31
1672553585,4935.0,0.0,tlx_632_a_h_31
1672553590,3871.0,0.0,tlx_632_a_h_31
1672553595,3196.0,0.0,tlx_632_a_h_31
1672553600,3625.0,0.0,tlx_632_a_h_31
1672553605,3029.0,0.0,tlx_632_a_h_31
1672553610,4505.0,0.0,tlx_632_a_h_31
1672553615,3337.0,0.0,tlx_632_a_h_31
