Time,DER_675_a_17_Watts,DER_675_a_17_Vars,DER_675_a_17_loc
1672552795,4599.0,0.0,tlx_675_a_h_17
1672552800,3679.0,0.0,tlx_675_a_h_17
1672552805,3735.0,0.0,tlx_675_a_h_17
1672552810,4359.0,0.0,tlx_675_a_h_17
1672552815,3778.0,0.0,tlx_675_a_h_17
1672552820,3409.0,0.0,tlx_675_a_h_17
1672552825,4533.0,0.0,tlx_675_a_h_17
1672552830,3768.0,0.0,tlx_675_a_h_17
1672552835,3536.0,0.0,tlx_675_a_h_17
1672552840,3413.0,0.0,tlx_675_a_h_17
1672552845,4746.0,0.0,tlx_675_a_h_17
1672552850,4389.0,0.0,tlx_675_a_h_17
1672552855,4976.0,0.0,tlx_675_a_h_17
1672552860,4997.0,0.0,tlx_675_a_h_17
1672552865,3690.0,0.0,tlx_675_a_h_17
1672552870,4971.0,0.0,tlx_675_a_h_17
1672552875,3670.0,0.0,tlx_675_a_h_17
1672552880,3790.0,0.0,tlx_675_a_h_17
1672552885,4137.0,0.0,tlx_675_a_h_17
1672552890,3778.0,0.0,tlx_675_a_h_17
1672552895,3102.0,0.0,tlx_675_a_h_17
1672552900,3383.0,0.0,tlx_675_a_h_17
1672552905,3518.0,0.0,tlx_675_a_h_17
1672552910,3177.0,0.0,tlx_675_a_h_17
1672552915,4983.0,0.0,tlx_675_a_h_17
1672552920,3914.0,0.0,tlx_675_a_h_17
1672552925,3545.0,0.0,tlx_675_a_h_17
1672552930,3890.0,0.0,tlx_675_a_h_17
1672552935,4678.0,0.0,tlx_675_a_h_17
1672552940,3728.0,0.0,tlx_675_a_h_17
1672552945,4809.0,0.0,tlx_675_a_h_17
1672552950,4132.0,0.0,tlx_675_a_h_17
1672552955,3249.0,0.0,tlx_675_a_h_17
1672552960,3750.0,0.0,tlx_675_a_h_17
1672552965,4088.0,0.0,tlx_675_a_h_17
1672552970,4932.0,0.0,tlx_675_a_h_17
1672552975,3767.0,0.0,tlx_675_a_h_17
1672552980,4854.0,0.0,tlx_675_a_h_17
1672552985,3953.0,0.0,tlx_675_a_h_17
1672552990,3495.0,0.0,tlx_675_a_h_17
1672552995,4243.0,0.0,tlx_675_a_h_17
1672553000,4533.0,0.0,tlx_675_a_h_17
1672553005,4271.0,0.0,tlx_675_a_h_17
1672553010,3814.0,0.0,tlx_675_a_h_17
1672553015,4509.0,0.0,tlx_675_a_h_17
