Time,DER_692_a_23_Watts,DER_692_a_23_Vars,DER_692_a_23_loc
1672552795,4503.0,0.0,tlx_692_a_h_23
1672552800,4340.0,0.0,tlx_692_a_h_23
1672552805,4654.0,0.0,tlx_692_a_h_23
1672552810,3028.0,0.0,tlx_692_a_h_23
1672552815,3425.0,0.0,tlx_692_a_h_23
1672552820,3818.0,0.0,tlx_692_a_h_23
1672552825,4161.0,0.0,tlx_692_a_h_23
1672552830,4264.0,0.0,tlx_692_a_h_23
1672552835,4171.0,0.0,tlx_692_a_h_23
1672552840,3277.0,0.0,tlx_692_a_h_23
1672552845,4241.0,0.0,tlx_692_a_h_23
1672552850,4860.0,0.0,tlx_692_a_h_23
1672552855,3239.0,0.0,tlx_692_a_h_23
1672552860,4703.0,0.0,tlx_692_a_h_23
1672552865,4283.0,0.0,tlx_692_a_h_23
1672552870,3425.0,0.0,tlx_692_a_h_23
1672552875,3486.0,0.0,tlx_692_a_h_23
1672552880,3833.0,0.0,tlx_692_a_h_23
1672552885,4580.0,0.0,tlx_692_a_h_23
1672552890,4401.0,0.0,tlx_692_a_h_23
1672552895,4902.0,0.0,tlx_692_a_h_23
1672552900,3360.0,0.0,tlx_692_a_h_23
1672552905,3137.0,0.0,tlx_692_a_h_23
1672552910,4446.0,0.0,tlx_692_a_h_23
1672552915,3736.0,0.0,tlx_692_a_h_23
1672552920,3324.0,0.0,tlx_692_a_h_23
1672552925,4990.0,0.0,tlx_692_a_h_23
1672552930,4068.0,0.0,tlx_692_a_h_23
1672552935,3842.0,0.0,tlx_692_a_h_23
1672552940,3240.0,0.0,tlx_692_a_h_23
1672552945,4060.0,0.0,tlx_692_a_h_23
1672552950,3500.0,0.0,tlx_692_a_h_23
1672552955,4421.0,0.0,tlx_692_a_h_23
1672552960,3613.0,0.0,tlx_692_a_h_23
1672552965,3357.0,0.0,tlx_692_a_h_23
1672552970,4952.0,0.0,tlx_692_a_h_23
1672552975,3502.0,0.0,tlx_692_a_h_23
1672552980,4187.0,0.0,tlx_692_a_h_23
1672552985,4402.0,0.0,tlx_692_a_h_23
1672552990,3957.0,0.0,tlx_692_a_h_23
1672552995,3095.0,0.0,tlx_692_a_h_23
1672553000,3215.0,0.0,tlx_692_a_h_23
1672553005,3007.0,0.0,tlx_692_a_h_23
1672553010,4585.0,0.0,tlx_692_a_h_23
1672553015,4195.0,0.0,tlx_692_a_h_23
1672553020,4202.0,0.0,tlx_692_a_h_23
1672553025,3385.0,0.0,tlx_692_a_h_23
1672553030,3099.0,0.0,tlx_692_a_h_23
1672553035,3047.0,0.0,tlx_692_a_h_23
1672553040,4372.0,0.0,tlx_692_a_h_23
1672553045,4321.0,0.0,tlx_692_a_h_23
1672553050,4347.0,0.0,tlx_692_a_h_23
1672553055,3392.0,0.0,tlx_692_a_h_23
1672553060,3169.0,0.0,tlx_692_a_h_23
1672553065,4167.0,0.0,tlx_692_a_h_23
1672553070,3871.0,0.0,tlx_692_a_h_23
1672553075,4723.0,0.0,tlx_692_a_h_23
1672553080,3570.0,0.0,tlx_692_a_h_23
1672553085,4934.0,0.0,tlx_692_a_h_23
1672553090,5000.0,0.0,tlx_692_a_h_23
1672553095,3961.0,0.0,tlx_692_a_h_23
1672553100,4313.0,0.0,tlx_692_a_h_23
1672553105,4148.0,0.0,tlx_692_a_h_23
1672553110,3262.0,0.0,tlx_692_a_h_23
