Time,DER_632_a_10_Watts,DER_632_a_10_Vars,DER_632_a_10_loc
1672552795,3147.0,0.0,tlx_632_a_h_10
1672552800,4613.0,0.0,tlx_632_a_h_10
1672552805,4074.0,0.0,tlx_632_a_h_10
1672552810,3371.0,0.0,tlx_632_a_h_10
1672552815,4004.0,0.0,tlx_632_a_h_10
1672552820,3972.0,0.0,tlx_632_a_h_10
1672552825,4193.0,0.0,tlx_632_a_h_10
1672552830,4540.0,0.0,tlx_632_a_h_10
1672552835,3137.0,0.0,tlx_632_a_h_10
1672552840,3771.0,0.0,tlx_632_a_h_10
1672552845,3066.0,0.0,tlx_632_a_h_10
1672552850,3119.0,0.0,tlx_632_a_h_10
1672552855,3783.0,0.0,tlx_632_a_h_10
1672552860,4436.0,0.0,tlx_632_a_h_10
1672552865,4259.0,0.0,tlx_632_a_h_10
1672552870,4783.0,0.0,tlx_632_a_h_10
1672552875,4757.0,0.0,tlx_632_a_h_10
1672552880,3570.0,0.0,tlx_632_a_h_10
1672552885,3149.0,0.0,tlx_632_a_h_10
1672552890,4530.0,0.0,tlx_632_a_h_10
1672552895,4674.0,0.0,tlx_632_a_h_10
1672552900,3029.0,0.0,tlx_632_a_h_10
1672552905,3384.0,0.0,tlx_632_a_h_10
1672552910,3590.0,0.0,tlx_632_a_h_10
1672552915,3521.0,0.0,tlx_632_a_h_10
1672552920,3008.0,0.0,tlx_632_a_h_10
1672552925,3230.0,0.0,tlx_632_a_h_10
1672552930,4075.0,0.0,tlx_632_a_h_10
1672552935,4400.0,0.0,tlx_632_a_h_10
1672552940,3766.0,0.0,tlx_632_a_h_10
1672552945,3920.0,0.0,tlx_632_a_h_10
1672552950,4704.0,0.0,tlx_632_a_h_10
1672552955,4740.0,0.0,tlx_632_a_h_10
1672552960,3846.0,0.0,tlx_632_a_h_10
1672552965,4323.0,0.0,tlx_632_a_h_10
1672552970,3339.0,0.0,tlx_632_a_h_10
1672552975,3868.0,0.0,tlx_632_a_h_10
1672552980,4064.0,0.0,tlx_632_a_h_10
1672552985,4878.0,0.0,tlx_632_a_h_10
1672552990,3807.0,0.0,tlx_632_a_h_10
1672552995,4535.0,0.0,tlx_632_a_h_10
1672553000,4935.0,0.0,tlx_632_a_h_10
1672553005,3345.0,0.0,tlx_632_a_h_10
1672553010,4923.0,0.0,tlx_632_a_h_10
1672553015,3098.0,0.0,tlx_632_a_h_10
1672553020,4761.0,0.0,tlx_632_a_h_10
1672553025,4412.0,0.0,tlx_632_a_h_10
1672553030,4015.0,0.0,tlx_632_a_h_10
1672553035,4185.0,0.0,tlx_632_a_h_10
1672553040,4693.0,0.0,tlx_632_a_h_10
1672553045,4784.0,0.0,tlx_632_a_h_10
1672553050,4354.0,0.0,tlx_632_a_h_10
1672553055,3568.0,0.0,tlx_632_a_h_10
1672553060,4646.0,0.0,tlx_632_a_h_10
1672553065,4379.0,0.0,tlx_632_a_h_10
1672553070,3781.0,0.0,tlx_632_a_h_10
1672553075,3424.0,0.0,tlx_632_a_h_10
1672553080,4440.0,0.0,tlx_632_a_h_10
1672553085,3324.0,0.0,tlx_632_a_h_10
1672553090,4323.0,0.0,tlx_632_a_h_10
1672553095,4157.0,0.0,tlx_632_a_h_10
1672553100,4040.0,0.0,tlx_632_a_h_10
1672553105,4468.0,0.0,tlx_632_a_h_10
1672553110,3928.0,0.0,tlx_632_a_h_10
1672553115,3598.0,0.0,tlx_632_a_h_10
1672553120,4403.0,0.0,tlx_632_a_h_10
1672553125,3172.0,0.0,tlx_632_a_h_10
1672553130,3435.0,0.0,tlx_632_a_h_10
1672553135,3480.0,0.0,tlx_632_a_h_10
1672553140,3242.0,0.0,tlx_632_a_h_10
1672553145,3004.0,0.0,tlx_632_a_h_10
1672553150,4580.0,0.0,tlx_632_a_h_10
1672553155,4440.0,0.0,tlx_632_a_h_10
1672553160,3309.0,0.0,tlx_632_a_h_10
1672553165,3330.0,0.0,tlx_632_a_h_10
1672553170,4187.0,0.0,tlx_632_a_h_10
1672553175,4407.0,0.0,tlx_632_a_h_10
1672553180,4885.0,0.0,tlx_632_a_h_10
1672553185,4346.0,0.0,tlx_632_a_h_10
1672553190,3770.0,0.0,tlx_632_a_h_10
1672553195,4412.0,0.0,tlx_632_a_h_10
1672553200,4935.0,0.0,tlx_632_a_h_10
1672553205,3628.0,0.0,tlx_632_a_h_10
1672553210,4777.0,0.0,tlx_632_a_h_10
1672553215,4403.0,0.0,tlx_632_a_h_10
1672553220,4601.0,0.0,tlx_632_a_h_10
1672553225,4359.0,0.0,tlx_632_a_h_10
1672553230,4715.0,0.0,tlx_632_a_h_10
1672553235,3145.0,0.0,tlx_632_a_h_10
1672553240,3508.0,0.0,tlx_632_a_h_10
1672553245,3557.0,0.0,tlx_632_a_h_10
1672553250,4310.0,0.0,tlx_632_a_h_10
1672553255,3666.0,0.0,tlx_632_a_h_10
1672553260,3779.0,0.0,tlx_632_a_h_10
1672553265,3954.0,0.0,tlx_632_a_h_10
1672553270,4500.0,0.0,tlx_632_a_h_10
1672553275,3804.0,0.0,tlx_632_a_h_10
1672553280,4183.0,0.0,tlx_632_a_h_10
1672553285,3930.0,0.0,tlx_632_a_h_10
1672553290,3492.0,0.0,tlx_632_a_h_10
1672553295,3609.0,0.0,tlx_632_a_h_10
1672553300,4780.0,0.0,tlx_632_a_h_10
1672553305,4914.0,0.0,tlx_632_a_h_10
1672553310,4460.0,0.0,tlx_632_a_h_10
1672553315,4084.0,0.0,tlx_632_a_h_10
1672553320,4828.0,0.0,tlx_632_a_h_10
1672553325,3907.0,0.0,tlx_632_a_h_10
1672553330,3397.0,0.0,tlx_632_a_h_10
1672553335,3613.0,0.0,tlx_632_a_h_10
1672553340,4494.0,0.0,tlx_632_a_h_10
1672553345,4604.0,0.0,tlx_632_a_h_10
1672553350,3681.0,0.0,tlx_632_a_h_10
1672553355,4679.0,0.0,tlx_632_a_h_10
1672553360,3899.0,0.0,tlx_632_a_h_10
1672553365,4103.0,0.0,tlx_632_a_h_10
1672553370,3077.0,0.0,tlx_632_a_h_10
1672553375,4414.0,0.0,tlx_632_a_h_10
1672553380,4871.0,0.0,tlx_632_a_h_10
