Time,DER_671_b_35_Watts,DER_671_b_35_Vars,DER_671_b_35_loc
1672552795,4881.0,0.0,tlx_671_b_h_35
1672552800,3582.0,0.0,tlx_671_b_h_35
1672552805,4092.0,0.0,tlx_671_b_h_35
1672552810,3973.0,0.0,tlx_671_b_h_35
1672552815,3818.0,0.0,tlx_671_b_h_35
1672552820,3862.0,0.0,tlx_671_b_h_35
1672552825,4653.0,0.0,tlx_671_b_h_35
1672552830,3819.0,0.0,tlx_671_b_h_35
1672552835,3685.0,0.0,tlx_671_b_h_35
1672552840,3129.0,0.0,tlx_671_b_h_35
1672552845,4729.0,0.0,tlx_671_b_h_35
1672552850,3397.0,0.0,tlx_671_b_h_35
1672552855,4914.0,0.0,tlx_671_b_h_35
1672552860,3203.0,0.0,tlx_671_b_h_35
1672552865,3485.0,0.0,tlx_671_b_h_35
1672552870,3381.0,0.0,tlx_671_b_h_35
1672552875,3194.0,0.0,tlx_671_b_h_35
1672552880,3076.0,0.0,tlx_671_b_h_35
1672552885,3870.0,0.0,tlx_671_b_h_35
1672552890,3129.0,0.0,tlx_671_b_h_35
1672552895,3321.0,0.0,tlx_671_b_h_35
1672552900,3193.0,0.0,tlx_671_b_h_35
1672552905,3033.0,0.0,tlx_671_b_h_35
1672552910,4988.0,0.0,tlx_671_b_h_35
1672552915,4304.0,0.0,tlx_671_b_h_35
1672552920,4371.0,0.0,tlx_671_b_h_35
1672552925,3769.0,0.0,tlx_671_b_h_35
1672552930,4253.0,0.0,tlx_671_b_h_35
1672552935,4634.0,0.0,tlx_671_b_h_35
1672552940,3985.0,0.0,tlx_671_b_h_35
1672552945,3121.0,0.0,tlx_671_b_h_35
1672552950,4761.0,0.0,tlx_671_b_h_35
1672552955,4273.0,0.0,tlx_671_b_h_35
1672552960,3027.0,0.0,tlx_671_b_h_35
1672552965,3012.0,0.0,tlx_671_b_h_35
1672552970,4897.0,0.0,tlx_671_b_h_35
1672552975,4047.0,0.0,tlx_671_b_h_35
1672552980,4202.0,0.0,tlx_671_b_h_35
1672552985,3262.0,0.0,tlx_671_b_h_35
1672552990,4184.0,0.0,tlx_671_b_h_35
1672552995,3157.0,0.0,tlx_671_b_h_35
1672553000,3468.0,0.0,tlx_671_b_h_35
1672553005,4306.0,0.0,tlx_671_b_h_35
1672553010,4223.0,0.0,tlx_671_b_h_35
1672553015,3782.0,0.0,tlx_671_b_h_35
1672553020,4725.0,0.0,tlx_671_b_h_35
1672553025,3394.0,0.0,tlx_671_b_h_35
1672553030,3711.0,0.0,tlx_671_b_h_35
1672553035,4771.0,0.0,tlx_671_b_h_35
1672553040,4350.0,0.0,tlx_671_b_h_35
1672553045,3430.0,0.0,tlx_671_b_h_35
1672553050,4738.0,0.0,tlx_671_b_h_35
1672553055,3183.0,0.0,tlx_671_b_h_35
1672553060,3254.0,0.0,tlx_671_b_h_35
1672553065,3927.0,0.0,tlx_671_b_h_35
1672553070,4388.0,0.0,tlx_671_b_h_35
1672553075,3769.0,0.0,tlx_671_b_h_35
1672553080,4539.0,0.0,tlx_671_b_h_35
1672553085,4121.0,0.0,tlx_671_b_h_35
1672553090,3782.0,0.0,tlx_671_b_h_35
1672553095,4386.0,0.0,tlx_671_b_h_35
1672553100,3739.0,0.0,tlx_671_b_h_35
1672553105,4161.0,0.0,tlx_671_b_h_35
1672553110,3177.0,0.0,tlx_671_b_h_35
1672553115,3908.0,0.0,tlx_671_b_h_35
1672553120,3267.0,0.0,tlx_671_b_h_35
1672553125,4010.0,0.0,tlx_671_b_h_35
1672553130,4086.0,0.0,tlx_671_b_h_35
1672553135,3609.0,0.0,tlx_671_b_h_35
1672553140,4689.0,0.0,tlx_671_b_h_35
1672553145,4706.0,0.0,tlx_671_b_h_35
1672553150,4429.0,0.0,tlx_671_b_h_35
1672553155,4241.0,0.0,tlx_671_b_h_35
1672553160,3752.0,0.0,tlx_671_b_h_35
1672553165,3161.0,0.0,tlx_671_b_h_35
1672553170,3822.0,0.0,tlx_671_b_h_35
1672553175,3840.0,0.0,tlx_671_b_h_35
1672553180,3589.0,0.0,tlx_671_b_h_35
1672553185,3839.0,0.0,tlx_671_b_h_35
1672553190,4041.0,0.0,tlx_671_b_h_35
1672553195,3805.0,0.0,tlx_671_b_h_35
1672553200,3746.0,0.0,tlx_671_b_h_35
1672553205,3878.0,0.0,tlx_671_b_h_35
1672553210,3019.0,0.0,tlx_671_b_h_35
1672553215,4563.0,0.0,tlx_671_b_h_35
1672553220,3979.0,0.0,tlx_671_b_h_35
1672553225,3814.0,0.0,tlx_671_b_h_35
1672553230,3640.0,0.0,tlx_671_b_h_35
1672553235,3605.0,0.0,tlx_671_b_h_35
1672553240,4527.0,0.0,tlx_671_b_h_35
1672553245,4406.0,0.0,tlx_671_b_h_35
1672553250,3653.0,0.0,tlx_671_b_h_35
1672553255,4931.0,0.0,tlx_671_b_h_35
1672553260,4864.0,0.0,tlx_671_b_h_35
1672553265,3771.0,0.0,tlx_671_b_h_35
1672553270,3592.0,0.0,tlx_671_b_h_35
1672553275,3340.0,0.0,tlx_671_b_h_35
1672553280,3634.0,0.0,tlx_671_b_h_35
1672553285,4862.0,0.0,tlx_671_b_h_35
1672553290,3301.0,0.0,tlx_671_b_h_35
1672553295,3719.0,0.0,tlx_671_b_h_35
1672553300,4858.0,0.0,tlx_671_b_h_35
1672553305,4467.0,0.0,tlx_671_b_h_35
1672553310,3860.0,0.0,tlx_671_b_h_35
1672553315,4534.0,0.0,tlx_671_b_h_35
1672553320,3165.0,0.0,tlx_671_b_h_35
1672553325,3532.0,0.0,tlx_671_b_h_35
1672553330,3151.0,0.0,tlx_671_b_h_35
1672553335,4905.0,0.0,tlx_671_b_h_35
1672553340,3099.0,0.0,tlx_671_b_h_35
1672553345,3437.0,0.0,tlx_671_b_h_35
1672553350,3346.0,0.0,tlx_671_b_h_35
1672553355,4297.0,0.0,tlx_671_b_h_35
1672553360,4668.0,0.0,tlx_671_b_h_35
1672553365,4886.0,0.0,tlx_671_b_h_35
1672553370,4153.0,0.0,tlx_671_b_h_35
1672553375,3750.0,0.0,tlx_671_b_h_35
1672553380,3131.0,0.0,tlx_671_b_h_35
1672553385,3333.0,0.0,tlx_671_b_h_35
1672553390,3491.0,0.0,tlx_671_b_h_35
1672553395,4818.0,0.0,tlx_671_b_h_35
1672553400,4057.0,0.0,tlx_671_b_h_35
1672553405,3734.0,0.0,tlx_671_b_h_35
1672553410,4787.0,0.0,tlx_671_b_h_35
1672553415,4918.0,0.0,tlx_671_b_h_35
1672553420,3722.0,0.0,tlx_671_b_h_35
1672553425,4820.0,0.0,tlx_671_b_h_35
1672553430,3101.0,0.0,tlx_671_b_h_35
1672553435,3205.0,0.0,tlx_671_b_h_35
1672553440,3781.0,0.0,tlx_671_b_h_35
1672553445,3807.0,0.0,tlx_671_b_h_35
1672553450,4436.0,0.0,tlx_671_b_h_35
1672553455,4789.0,0.0,tlx_671_b_h_35
1672553460,3620.0,0.0,tlx_671_b_h_35
1672553465,4802.0,0.0,tlx_671_b_h_35
