Time,DER_671_b_18_Watts,DER_671_b_18_Vars,DER_671_b_18_loc
1672552795,4849.0,0.0,tlx_671_b_h_18
1672552800,3304.0,0.0,tlx_671_b_h_18
1672552805,3794.0,0.0,tlx_671_b_h_18
1672552810,3380.0,0.0,tlx_671_b_h_18
1672552815,3625.0,0.0,tlx_671_b_h_18
1672552820,3783.0,0.0,tlx_671_b_h_18
1672552825,4521.0,0.0,tlx_671_b_h_18
1672552830,3457.0,0.0,tlx_671_b_h_18
1672552835,3977.0,0.0,tlx_671_b_h_18
1672552840,4039.0,0.0,tlx_671_b_h_18
1672552845,3250.0,0.0,tlx_671_b_h_18
1672552850,4199.0,0.0,tlx_671_b_h_18
1672552855,3496.0,0.0,tlx_671_b_h_18
1672552860,4888.0,0.0,tlx_671_b_h_18
1672552865,3368.0,0.0,tlx_671_b_h_18
1672552870,4670.0,0.0,tlx_671_b_h_18
1672552875,4524.0,0.0,tlx_671_b_h_18
1672552880,4633.0,0.0,tlx_671_b_h_18
1672552885,4719.0,0.0,tlx_671_b_h_18
1672552890,4962.0,0.0,tlx_671_b_h_18
1672552895,4072.0,0.0,tlx_671_b_h_18
1672552900,3307.0,0.0,tlx_671_b_h_18
1672552905,3188.0,0.0,tlx_671_b_h_18
1672552910,4302.0,0.0,tlx_671_b_h_18
1672552915,4353.0,0.0,tlx_671_b_h_18
1672552920,4311.0,0.0,tlx_671_b_h_18
1672552925,4092.0,0.0,tlx_671_b_h_18
1672552930,4010.0,0.0,tlx_671_b_h_18
1672552935,4144.0,0.0,tlx_671_b_h_18
1672552940,3229.0,0.0,tlx_671_b_h_18
1672552945,4735.0,0.0,tlx_671_b_h_18
1672552950,3147.0,0.0,tlx_671_b_h_18
1672552955,3635.0,0.0,tlx_671_b_h_18
1672552960,4517.0,0.0,tlx_671_b_h_18
1672552965,3599.0,0.0,tlx_671_b_h_18
1672552970,4145.0,0.0,tlx_671_b_h_18
1672552975,4087.0,0.0,tlx_671_b_h_18
1672552980,3293.0,0.0,tlx_671_b_h_18
1672552985,4946.0,0.0,tlx_671_b_h_18
1672552990,3618.0,0.0,tlx_671_b_h_18
1672552995,3158.0,0.0,tlx_671_b_h_18
1672553000,3691.0,0.0,tlx_671_b_h_18
1672553005,3448.0,0.0,tlx_671_b_h_18
1672553010,4854.0,0.0,tlx_671_b_h_18
1672553015,4505.0,0.0,tlx_671_b_h_18
1672553020,4897.0,0.0,tlx_671_b_h_18
1672553025,4309.0,0.0,tlx_671_b_h_18
1672553030,3929.0,0.0,tlx_671_b_h_18
1672553035,3905.0,0.0,tlx_671_b_h_18
1672553040,4734.0,0.0,tlx_671_b_h_18
1672553045,3970.0,0.0,tlx_671_b_h_18
1672553050,4588.0,0.0,tlx_671_b_h_18
1672553055,4189.0,0.0,tlx_671_b_h_18
1672553060,3282.0,0.0,tlx_671_b_h_18
1672553065,4210.0,0.0,tlx_671_b_h_18
1672553070,4216.0,0.0,tlx_671_b_h_18
1672553075,4092.0,0.0,tlx_671_b_h_18
1672553080,4163.0,0.0,tlx_671_b_h_18
1672553085,3362.0,0.0,tlx_671_b_h_18
1672553090,3250.0,0.0,tlx_671_b_h_18
1672553095,4491.0,0.0,tlx_671_b_h_18
1672553100,4994.0,0.0,tlx_671_b_h_18
1672553105,3209.0,0.0,tlx_671_b_h_18
1672553110,3653.0,0.0,tlx_671_b_h_18
1672553115,3316.0,0.0,tlx_671_b_h_18
1672553120,3080.0,0.0,tlx_671_b_h_18
1672553125,3761.0,0.0,tlx_671_b_h_18
1672553130,3128.0,0.0,tlx_671_b_h_18
1672553135,4658.0,0.0,tlx_671_b_h_18
1672553140,4333.0,0.0,tlx_671_b_h_18
1672553145,4495.0,0.0,tlx_671_b_h_18
1672553150,3471.0,0.0,tlx_671_b_h_18
1672553155,3445.0,0.0,tlx_671_b_h_18
1672553160,3325.0,0.0,tlx_671_b_h_18
1672553165,3315.0,0.0,tlx_671_b_h_18
1672553170,3644.0,0.0,tlx_671_b_h_18
1672553175,4906.0,0.0,tlx_671_b_h_18
1672553180,4601.0,0.0,tlx_671_b_h_18
1672553185,3927.0,0.0,tlx_671_b_h_18
1672553190,4914.0,0.0,tlx_671_b_h_18
1672553195,4196.0,0.0,tlx_671_b_h_18
1672553200,4631.0,0.0,tlx_671_b_h_18
1672553205,4713.0,0.0,tlx_671_b_h_18
1672553210,4632.0,0.0,tlx_671_b_h_18
1672553215,4958.0,0.0,tlx_671_b_h_18
1672553220,4750.0,0.0,tlx_671_b_h_18
1672553225,4253.0,0.0,tlx_671_b_h_18
1672553230,3223.0,0.0,tlx_671_b_h_18
1672553235,4043.0,0.0,tlx_671_b_h_18
1672553240,3596.0,0.0,tlx_671_b_h_18
1672553245,3554.0,0.0,tlx_671_b_h_18
1672553250,3587.0,0.0,tlx_671_b_h_18
1672553255,3979.0,0.0,tlx_671_b_h_18
1672553260,4076.0,0.0,tlx_671_b_h_18
1672553265,4587.0,0.0,tlx_671_b_h_18
1672553270,3377.0,0.0,tlx_671_b_h_18
1672553275,3579.0,0.0,tlx_671_b_h_18
1672553280,3983.0,0.0,tlx_671_b_h_18
1672553285,3093.0,0.0,tlx_671_b_h_18
1672553290,4977.0,0.0,tlx_671_b_h_18
1672553295,4452.0,0.0,tlx_671_b_h_18
1672553300,3232.0,0.0,tlx_671_b_h_18
1672553305,3943.0,0.0,tlx_671_b_h_18
1672553310,4679.0,0.0,tlx_671_b_h_18
1672553315,3470.0,0.0,tlx_671_b_h_18
1672553320,4941.0,0.0,tlx_671_b_h_18
