Time,DER_675_a_37_Watts,DER_675_a_37_Vars,DER_675_a_37_loc
1672552795,4662.0,0.0,tlx_675_a_h_37
1672552800,4701.0,0.0,tlx_675_a_h_37
1672552805,3387.0,0.0,tlx_675_a_h_37
1672552810,4695.0,0.0,tlx_675_a_h_37
1672552815,3247.0,0.0,tlx_675_a_h_37
1672552820,3434.0,0.0,tlx_675_a_h_37
1672552825,4707.0,0.0,tlx_675_a_h_37
1672552830,3975.0,0.0,tlx_675_a_h_37
1672552835,3589.0,0.0,tlx_675_a_h_37
1672552840,3030.0,0.0,tlx_675_a_h_37
1672552845,4622.0,0.0,tlx_675_a_h_37
1672552850,3840.0,0.0,tlx_675_a_h_37
1672552855,4903.0,0.0,tlx_675_a_h_37
1672552860,4823.0,0.0,tlx_675_a_h_37
1672552865,3577.0,0.0,tlx_675_a_h_37
1672552870,3366.0,0.0,tlx_675_a_h_37
1672552875,3634.0,0.0,tlx_675_a_h_37
1672552880,4793.0,0.0,tlx_675_a_h_37
1672552885,4462.0,0.0,tlx_675_a_h_37
1672552890,3979.0,0.0,tlx_675_a_h_37
1672552895,3362.0,0.0,tlx_675_a_h_37
1672552900,3070.0,0.0,tlx_675_a_h_37
1672552905,4894.0,0.0,tlx_675_a_h_37
1672552910,4384.0,0.0,tlx_675_a_h_37
1672552915,3489.0,0.0,tlx_675_a_h_37
1672552920,3025.0,0.0,tlx_675_a_h_37
1672552925,3012.0,0.0,tlx_675_a_h_37
1672552930,3790.0,0.0,tlx_675_a_h_37
1672552935,4126.0,0.0,tlx_675_a_h_37
1672552940,3797.0,0.0,tlx_675_a_h_37
1672552945,4754.0,0.0,tlx_675_a_h_37
1672552950,3604.0,0.0,tlx_675_a_h_37
1672552955,4701.0,0.0,tlx_675_a_h_37
1672552960,3100.0,0.0,tlx_675_a_h_37
1672552965,3100.0,0.0,tlx_675_a_h_37
1672552970,3053.0,0.0,tlx_675_a_h_37
1672552975,3155.0,0.0,tlx_675_a_h_37
1672552980,4639.0,0.0,tlx_675_a_h_37
1672552985,3668.0,0.0,tlx_675_a_h_37
1672552990,4390.0,0.0,tlx_675_a_h_37
1672552995,4057.0,0.0,tlx_675_a_h_37
1672553000,3691.0,0.0,tlx_675_a_h_37
1672553005,3577.0,0.0,tlx_675_a_h_37
1672553010,4019.0,0.0,tlx_675_a_h_37
1672553015,4585.0,0.0,tlx_675_a_h_37
1672553020,3221.0,0.0,tlx_675_a_h_37
1672553025,4909.0,0.0,tlx_675_a_h_37
1672553030,3186.0,0.0,tlx_675_a_h_37
1672553035,3116.0,0.0,tlx_675_a_h_37
1672553040,4527.0,0.0,tlx_675_a_h_37
1672553045,3353.0,0.0,tlx_675_a_h_37
1672553050,4811.0,0.0,tlx_675_a_h_37
1672553055,4184.0,0.0,tlx_675_a_h_37
1672553060,3789.0,0.0,tlx_675_a_h_37
1672553065,3005.0,0.0,tlx_675_a_h_37
1672553070,3022.0,0.0,tlx_675_a_h_37
1672553075,4806.0,0.0,tlx_675_a_h_37
1672553080,4313.0,0.0,tlx_675_a_h_37
1672553085,4107.0,0.0,tlx_675_a_h_37
1672553090,3833.0,0.0,tlx_675_a_h_37
1672553095,4115.0,0.0,tlx_675_a_h_37
1672553100,3832.0,0.0,tlx_675_a_h_37
1672553105,3266.0,0.0,tlx_675_a_h_37
1672553110,4562.0,0.0,tlx_675_a_h_37
1672553115,4585.0,0.0,tlx_675_a_h_37
1672553120,4938.0,0.0,tlx_675_a_h_37
1672553125,3680.0,0.0,tlx_675_a_h_37
1672553130,3199.0,0.0,tlx_675_a_h_37
1672553135,3993.0,0.0,tlx_675_a_h_37
1672553140,4855.0,0.0,tlx_675_a_h_37
1672553145,4756.0,0.0,tlx_675_a_h_37
1672553150,3033.0,0.0,tlx_675_a_h_37
1672553155,4787.0,0.0,tlx_675_a_h_37
1672553160,4815.0,0.0,tlx_675_a_h_37
1672553165,4905.0,0.0,tlx_675_a_h_37
1672553170,3139.0,0.0,tlx_675_a_h_37
1672553175,3247.0,0.0,tlx_675_a_h_37
1672553180,3016.0,0.0,tlx_675_a_h_37
1672553185,3997.0,0.0,tlx_675_a_h_37
1672553190,4947.0,0.0,tlx_675_a_h_37
1672553195,4586.0,0.0,tlx_675_a_h_37
1672553200,4595.0,0.0,tlx_675_a_h_37
1672553205,4286.0,0.0,tlx_675_a_h_37
1672553210,4215.0,0.0,tlx_675_a_h_37
1672553215,3951.0,0.0,tlx_675_a_h_37
1672553220,4156.0,0.0,tlx_675_a_h_37
1672553225,4064.0,0.0,tlx_675_a_h_37
1672553230,3127.0,0.0,tlx_675_a_h_37
1672553235,4098.0,0.0,tlx_675_a_h_37
1672553240,4273.0,0.0,tlx_675_a_h_37
1672553245,3238.0,0.0,tlx_675_a_h_37
1672553250,3264.0,0.0,tlx_675_a_h_37
1672553255,3048.0,0.0,tlx_675_a_h_37
1672553260,3669.0,0.0,tlx_675_a_h_37
1672553265,3377.0,0.0,tlx_675_a_h_37
1672553270,4279.0,0.0,tlx_675_a_h_37
1672553275,3867.0,0.0,tlx_675_a_h_37
1672553280,3286.0,0.0,tlx_675_a_h_37
1672553285,3200.0,0.0,tlx_675_a_h_37
1672553290,3074.0,0.0,tlx_675_a_h_37
1672553295,3931.0,0.0,tlx_675_a_h_37
1672553300,4381.0,0.0,tlx_675_a_h_37
1672553305,4025.0,0.0,tlx_675_a_h_37
1672553310,3681.0,0.0,tlx_675_a_h_37
1672553315,3970.0,0.0,tlx_675_a_h_37
1672553320,4383.0,0.0,tlx_675_a_h_37
1672553325,4263.0,0.0,tlx_675_a_h_37
1672553330,4546.0,0.0,tlx_675_a_h_37
1672553335,4166.0,0.0,tlx_675_a_h_37
1672553340,3731.0,0.0,tlx_675_a_h_37
1672553345,3377.0,0.0,tlx_675_a_h_37
1672553350,3012.0,0.0,tlx_675_a_h_37
1672553355,4926.0,0.0,tlx_675_a_h_37
1672553360,3551.0,0.0,tlx_675_a_h_37
1672553365,4403.0,0.0,tlx_675_a_h_37
1672553370,4179.0,0.0,tlx_675_a_h_37
1672553375,4213.0,0.0,tlx_675_a_h_37
1672553380,4183.0,0.0,tlx_675_a_h_37
1672553385,4010.0,0.0,tlx_675_a_h_37
1672553390,4012.0,0.0,tlx_675_a_h_37
1672553395,3067.0,0.0,tlx_675_a_h_37
1672553400,4043.0,0.0,tlx_675_a_h_37
1672553405,4066.0,0.0,tlx_675_a_h_37
1672553410,3421.0,0.0,tlx_675_a_h_37
