Time,DER_692_c_21_Watts,DER_692_c_21_Vars,DER_692_c_21_loc
1672552795,3515.0,0.0,tlx_692_c_h_21
1672552800,3982.0,0.0,tlx_692_c_h_21
1672552805,4885.0,0.0,tlx_692_c_h_21
1672552810,4887.0,0.0,tlx_692_c_h_21
1672552815,4255.0,0.0,tlx_692_c_h_21
1672552820,4499.0,0.0,tlx_692_c_h_21
1672552825,3405.0,0.0,tlx_692_c_h_21
1672552830,3439.0,0.0,tlx_692_c_h_21
1672552835,3379.0,0.0,tlx_692_c_h_21
1672552840,4976.0,0.0,tlx_692_c_h_21
1672552845,4301.0,0.0,tlx_692_c_h_21
1672552850,3876.0,0.0,tlx_692_c_h_21
1672552855,3061.0,0.0,tlx_692_c_h_21
1672552860,4898.0,0.0,tlx_692_c_h_21
1672552865,3646.0,0.0,tlx_692_c_h_21
1672552870,3554.0,0.0,tlx_692_c_h_21
1672552875,3706.0,0.0,tlx_692_c_h_21
1672552880,4052.0,0.0,tlx_692_c_h_21
1672552885,4229.0,0.0,tlx_692_c_h_21
1672552890,4298.0,0.0,tlx_692_c_h_21
1672552895,4591.0,0.0,tlx_692_c_h_21
1672552900,3875.0,0.0,tlx_692_c_h_21
1672552905,3492.0,0.0,tlx_692_c_h_21
1672552910,3300.0,0.0,tlx_692_c_h_21
1672552915,3682.0,0.0,tlx_692_c_h_21
1672552920,4955.0,0.0,tlx_692_c_h_21
1672552925,3286.0,0.0,tlx_692_c_h_21
1672552930,3069.0,0.0,tlx_692_c_h_21
1672552935,3300.0,0.0,tlx_692_c_h_21
1672552940,3095.0,0.0,tlx_692_c_h_21
1672552945,4115.0,0.0,tlx_692_c_h_21
1672552950,4702.0,0.0,tlx_692_c_h_21
1672552955,3704.0,0.0,tlx_692_c_h_21
1672552960,3552.0,0.0,tlx_692_c_h_21
1672552965,4898.0,0.0,tlx_692_c_h_21
1672552970,3022.0,0.0,tlx_692_c_h_21
1672552975,4946.0,0.0,tlx_692_c_h_21
1672552980,3512.0,0.0,tlx_692_c_h_21
1672552985,3684.0,0.0,tlx_692_c_h_21
1672552990,3868.0,0.0,tlx_692_c_h_21
1672552995,4822.0,0.0,tlx_692_c_h_21
1672553000,4308.0,0.0,tlx_692_c_h_21
1672553005,3244.0,0.0,tlx_692_c_h_21
