Time,DER_675_b_11_Watts,DER_675_b_11_Vars,DER_675_b_11_loc
1672552795,3787.0,0.0,tlx_675_b_h_11
1672552800,4880.0,0.0,tlx_675_b_h_11
1672552805,4205.0,0.0,tlx_675_b_h_11
1672552810,4057.0,0.0,tlx_675_b_h_11
1672552815,3510.0,0.0,tlx_675_b_h_11
1672552820,4708.0,0.0,tlx_675_b_h_11
1672552825,4475.0,0.0,tlx_675_b_h_11
1672552830,3299.0,0.0,tlx_675_b_h_11
1672552835,3093.0,0.0,tlx_675_b_h_11
1672552840,3474.0,0.0,tlx_675_b_h_11
1672552845,3454.0,0.0,tlx_675_b_h_11
1672552850,3167.0,0.0,tlx_675_b_h_11
1672552855,3680.0,0.0,tlx_675_b_h_11
1672552860,3797.0,0.0,tlx_675_b_h_11
1672552865,4484.0,0.0,tlx_675_b_h_11
1672552870,3183.0,0.0,tlx_675_b_h_11
1672552875,3631.0,0.0,tlx_675_b_h_11
1672552880,3438.0,0.0,tlx_675_b_h_11
1672552885,4562.0,0.0,tlx_675_b_h_11
1672552890,3785.0,0.0,tlx_675_b_h_11
1672552895,4644.0,0.0,tlx_675_b_h_11
1672552900,4163.0,0.0,tlx_675_b_h_11
1672552905,3301.0,0.0,tlx_675_b_h_11
1672552910,3545.0,0.0,tlx_675_b_h_11
1672552915,3876.0,0.0,tlx_675_b_h_11
1672552920,3131.0,0.0,tlx_675_b_h_11
1672552925,3548.0,0.0,tlx_675_b_h_11
1672552930,4829.0,0.0,tlx_675_b_h_11
1672552935,3762.0,0.0,tlx_675_b_h_11
1672552940,4362.0,0.0,tlx_675_b_h_11
1672552945,3459.0,0.0,tlx_675_b_h_11
1672552950,4388.0,0.0,tlx_675_b_h_11
1672552955,3411.0,0.0,tlx_675_b_h_11
1672552960,3658.0,0.0,tlx_675_b_h_11
1672552965,3085.0,0.0,tlx_675_b_h_11
1672552970,4433.0,0.0,tlx_675_b_h_11
1672552975,4959.0,0.0,tlx_675_b_h_11
1672552980,4437.0,0.0,tlx_675_b_h_11
1672552985,4774.0,0.0,tlx_675_b_h_11
1672552990,4531.0,0.0,tlx_675_b_h_11
1672552995,3174.0,0.0,tlx_675_b_h_11
1672553000,3904.0,0.0,tlx_675_b_h_11
1672553005,4410.0,0.0,tlx_675_b_h_11
1672553010,3205.0,0.0,tlx_675_b_h_11
1672553015,4257.0,0.0,tlx_675_b_h_11
1672553020,4372.0,0.0,tlx_675_b_h_11
1672553025,4243.0,0.0,tlx_675_b_h_11
1672553030,4194.0,0.0,tlx_675_b_h_11
1672553035,3989.0,0.0,tlx_675_b_h_11
1672553040,3032.0,0.0,tlx_675_b_h_11
1672553045,4651.0,0.0,tlx_675_b_h_11
1672553050,4180.0,0.0,tlx_675_b_h_11
1672553055,3386.0,0.0,tlx_675_b_h_11
1672553060,4206.0,0.0,tlx_675_b_h_11
1672553065,4525.0,0.0,tlx_675_b_h_11
1672553070,3227.0,0.0,tlx_675_b_h_11
1672553075,3206.0,0.0,tlx_675_b_h_11
1672553080,4470.0,0.0,tlx_675_b_h_11
1672553085,4517.0,0.0,tlx_675_b_h_11
1672553090,4539.0,0.0,tlx_675_b_h_11
1672553095,3699.0,0.0,tlx_675_b_h_11
1672553100,3982.0,0.0,tlx_675_b_h_11
1672553105,4552.0,0.0,tlx_675_b_h_11
1672553110,3430.0,0.0,tlx_675_b_h_11
1672553115,3054.0,0.0,tlx_675_b_h_11
