Time,DER_632_c_32_Watts,DER_632_c_32_Vars,DER_632_c_32_loc
1672552795,4043.0,0.0,tlx_632_c_h_32
1672552800,3006.0,0.0,tlx_632_c_h_32
1672552805,4499.0,0.0,tlx_632_c_h_32
1672552810,4251.0,0.0,tlx_632_c_h_32
1672552815,3497.0,0.0,tlx_632_c_h_32
1672552820,3195.0,0.0,tlx_632_c_h_32
1672552825,3495.0,0.0,tlx_632_c_h_32
1672552830,4398.0,0.0,tlx_632_c_h_32
1672552835,3817.0,0.0,tlx_632_c_h_32
1672552840,3587.0,0.0,tlx_632_c_h_32
1672552845,4777.0,0.0,tlx_632_c_h_32
1672552850,4207.0,0.0,tlx_632_c_h_32
1672552855,4105.0,0.0,tlx_632_c_h_32
1672552860,4333.0,0.0,tlx_632_c_h_32
1672552865,3621.0,0.0,tlx_632_c_h_32
1672552870,3623.0,0.0,tlx_632_c_h_32
1672552875,4166.0,0.0,tlx_632_c_h_32
1672552880,4557.0,0.0,tlx_632_c_h_32
1672552885,4016.0,0.0,tlx_632_c_h_32
1672552890,3463.0,0.0,tlx_632_c_h_32
1672552895,3256.0,0.0,tlx_632_c_h_32
1672552900,3694.0,0.0,tlx_632_c_h_32
1672552905,3289.0,0.0,tlx_632_c_h_32
1672552910,4206.0,0.0,tlx_632_c_h_32
1672552915,4155.0,0.0,tlx_632_c_h_32
1672552920,3718.0,0.0,tlx_632_c_h_32
1672552925,4948.0,0.0,tlx_632_c_h_32
1672552930,4671.0,0.0,tlx_632_c_h_32
1672552935,3794.0,0.0,tlx_632_c_h_32
1672552940,3852.0,0.0,tlx_632_c_h_32
1672552945,3074.0,0.0,tlx_632_c_h_32
1672552950,3726.0,0.0,tlx_632_c_h_32
1672552955,3200.0,0.0,tlx_632_c_h_32
1672552960,3486.0,0.0,tlx_632_c_h_32
1672552965,4150.0,0.0,tlx_632_c_h_32
1672552970,3238.0,0.0,tlx_632_c_h_32
1672552975,3228.0,0.0,tlx_632_c_h_32
1672552980,3935.0,0.0,tlx_632_c_h_32
1672552985,3735.0,0.0,tlx_632_c_h_32
1672552990,3083.0,0.0,tlx_632_c_h_32
1672552995,4135.0,0.0,tlx_632_c_h_32
1672553000,3178.0,0.0,tlx_632_c_h_32
1672553005,3161.0,0.0,tlx_632_c_h_32
1672553010,3723.0,0.0,tlx_632_c_h_32
1672553015,3343.0,0.0,tlx_632_c_h_32
1672553020,3453.0,0.0,tlx_632_c_h_32
1672553025,3012.0,0.0,tlx_632_c_h_32
1672553030,4248.0,0.0,tlx_632_c_h_32
1672553035,4905.0,0.0,tlx_632_c_h_32
1672553040,3321.0,0.0,tlx_632_c_h_32
1672553045,3167.0,0.0,tlx_632_c_h_32
1672553050,3482.0,0.0,tlx_632_c_h_32
1672553055,4553.0,0.0,tlx_632_c_h_32
1672553060,4285.0,0.0,tlx_632_c_h_32
1672553065,4287.0,0.0,tlx_632_c_h_32
1672553070,4470.0,0.0,tlx_632_c_h_32
1672553075,4702.0,0.0,tlx_632_c_h_32
1672553080,3915.0,0.0,tlx_632_c_h_32
1672553085,3901.0,0.0,tlx_632_c_h_32
1672553090,3843.0,0.0,tlx_632_c_h_32
1672553095,3383.0,0.0,tlx_632_c_h_32
1672553100,3056.0,0.0,tlx_632_c_h_32
1672553105,4287.0,0.0,tlx_632_c_h_32
1672553110,4039.0,0.0,tlx_632_c_h_32
1672553115,4143.0,0.0,tlx_632_c_h_32
1672553120,3276.0,0.0,tlx_632_c_h_32
1672553125,3974.0,0.0,tlx_632_c_h_32
1672553130,4436.0,0.0,tlx_632_c_h_32
1672553135,4593.0,0.0,tlx_632_c_h_32
1672553140,3432.0,0.0,tlx_632_c_h_32
1672553145,3697.0,0.0,tlx_632_c_h_32
1672553150,3445.0,0.0,tlx_632_c_h_32
1672553155,3629.0,0.0,tlx_632_c_h_32
1672553160,4142.0,0.0,tlx_632_c_h_32
1672553165,4495.0,0.0,tlx_632_c_h_32
1672553170,3049.0,0.0,tlx_632_c_h_32
1672553175,4646.0,0.0,tlx_632_c_h_32
1672553180,3457.0,0.0,tlx_632_c_h_32
1672553185,3781.0,0.0,tlx_632_c_h_32
1672553190,3729.0,0.0,tlx_632_c_h_32
1672553195,3686.0,0.0,tlx_632_c_h_32
1672553200,3239.0,0.0,tlx_632_c_h_32
1672553205,3944.0,0.0,tlx_632_c_h_32
1672553210,3064.0,0.0,tlx_632_c_h_32
1672553215,3021.0,0.0,tlx_632_c_h_32
1672553220,3947.0,0.0,tlx_632_c_h_32
1672553225,3267.0,0.0,tlx_632_c_h_32
1672553230,4338.0,0.0,tlx_632_c_h_32
1672553235,3055.0,0.0,tlx_632_c_h_32
1672553240,3424.0,0.0,tlx_632_c_h_32
1672553245,4047.0,0.0,tlx_632_c_h_32
1672553250,3885.0,0.0,tlx_632_c_h_32
1672553255,4745.0,0.0,tlx_632_c_h_32
1672553260,3172.0,0.0,tlx_632_c_h_32
1672553265,4960.0,0.0,tlx_632_c_h_32
1672553270,3183.0,0.0,tlx_632_c_h_32
1672553275,3181.0,0.0,tlx_632_c_h_32
1672553280,3663.0,0.0,tlx_632_c_h_32
1672553285,4411.0,0.0,tlx_632_c_h_32
1672553290,3686.0,0.0,tlx_632_c_h_32
1672553295,4771.0,0.0,tlx_632_c_h_32
1672553300,3438.0,0.0,tlx_632_c_h_32
1672553305,3077.0,0.0,tlx_632_c_h_32
1672553310,3919.0,0.0,tlx_632_c_h_32
1672553315,3702.0,0.0,tlx_632_c_h_32
1672553320,4274.0,0.0,tlx_632_c_h_32
1672553325,3266.0,0.0,tlx_632_c_h_32
1672553330,4115.0,0.0,tlx_632_c_h_32
1672553335,3295.0,0.0,tlx_632_c_h_32
1672553340,4063.0,0.0,tlx_632_c_h_32
1672553345,4140.0,0.0,tlx_632_c_h_32
1672553350,4420.0,0.0,tlx_632_c_h_32
1672553355,3871.0,0.0,tlx_632_c_h_32
1672553360,4553.0,0.0,tlx_632_c_h_32
1672553365,4627.0,0.0,tlx_632_c_h_32
1672553370,4137.0,0.0,tlx_632_c_h_32
1672553375,3603.0,0.0,tlx_632_c_h_32
1672553380,3879.0,0.0,tlx_632_c_h_32
1672553385,4581.0,0.0,tlx_632_c_h_32
1672553390,3801.0,0.0,tlx_632_c_h_32
1672553395,3949.0,0.0,tlx_632_c_h_32
1672553400,3779.0,0.0,tlx_632_c_h_32
1672553405,3529.0,0.0,tlx_632_c_h_32
1672553410,3746.0,0.0,tlx_632_c_h_32
1672553415,3750.0,0.0,tlx_632_c_h_32
1672553420,4962.0,0.0,tlx_632_c_h_32
1672553425,3801.0,0.0,tlx_632_c_h_32
1672553430,4088.0,0.0,tlx_632_c_h_32
1672553435,4103.0,0.0,tlx_632_c_h_32
1672553440,3669.0,0.0,tlx_632_c_h_32
1672553445,3255.0,0.0,tlx_632_c_h_32
1672553450,3181.0,0.0,tlx_632_c_h_32
1672553455,3474.0,0.0,tlx_632_c_h_32
1672553460,3779.0,0.0,tlx_632_c_h_32
1672553465,3960.0,0.0,tlx_632_c_h_32
1672553470,4544.0,0.0,tlx_632_c_h_32
1672553475,4967.0,0.0,tlx_632_c_h_32
1672553480,4356.0,0.0,tlx_632_c_h_32
1672553485,4665.0,0.0,tlx_632_c_h_32
1672553490,4989.0,0.0,tlx_632_c_h_32
1672553495,4409.0,0.0,tlx_632_c_h_32
1672553500,3427.0,0.0,tlx_632_c_h_32
1672553505,3481.0,0.0,tlx_632_c_h_32
1672553510,4598.0,0.0,tlx_632_c_h_32
1672553515,3905.0,0.0,tlx_632_c_h_32
1672553520,3461.0,0.0,tlx_632_c_h_32
1672553525,4779.0,0.0,tlx_632_c_h_32
1672553530,3577.0,0.0,tlx_632_c_h_32
1672553535,4586.0,0.0,tlx_632_c_h_32
1672553540,4772.0,0.0,tlx_632_c_h_32
1672553545,3660.0,0.0,tlx_632_c_h_32
1672553550,4971.0,0.0,tlx_632_c_h_32
1672553555,4494.0,0.0,tlx_632_c_h_32
1672553560,3415.0,0.0,tlx_632_c_h_32
1672553565,4287.0,0.0,tlx_632_c_h_32
1672553570,3685.0,0.0,tlx_632_c_h_32
1672553575,3446.0,0.0,tlx_632_c_h_32
1672553580,3444.0,0.0,tlx_632_c_h_32
1672553585,4126.0,0.0,tlx_632_c_h_32
1672553590,4859.0,0.0,tlx_632_c_h_32
1672553595,4437.0,0.0,tlx_632_c_h_32
1672553600,3434.0,0.0,tlx_632_c_h_32
1672553605,3645.0,0.0,tlx_632_c_h_32
1672553610,4018.0,0.0,tlx_632_c_h_32
1672553615,4755.0,0.0,tlx_632_c_h_32
1672553620,3433.0,0.0,tlx_632_c_h_32
1672553625,3912.0,0.0,tlx_632_c_h_32
1672553630,3908.0,0.0,tlx_632_c_h_32
1672553635,3116.0,0.0,tlx_632_c_h_32
1672553640,3003.0,0.0,tlx_632_c_h_32
1672553645,4998.0,0.0,tlx_632_c_h_32
1672553650,4173.0,0.0,tlx_632_c_h_32
1672553655,4645.0,0.0,tlx_632_c_h_32
1672553660,4395.0,0.0,tlx_632_c_h_32
1672553665,4866.0,0.0,tlx_632_c_h_32
1672553670,3778.0,0.0,tlx_632_c_h_32
1672553675,3906.0,0.0,tlx_632_c_h_32
1672553680,3345.0,0.0,tlx_632_c_h_32
1672553685,4781.0,0.0,tlx_632_c_h_32
1672553690,3489.0,0.0,tlx_632_c_h_32
1672553695,4992.0,0.0,tlx_632_c_h_32
1672553700,4310.0,0.0,tlx_632_c_h_32
1672553705,3171.0,0.0,tlx_632_c_h_32
1672553710,4744.0,0.0,tlx_632_c_h_32
1672553715,3646.0,0.0,tlx_632_c_h_32
1672553720,4586.0,0.0,tlx_632_c_h_32
1672553725,4571.0,0.0,tlx_632_c_h_32
1672553730,3432.0,0.0,tlx_632_c_h_32
1672553735,3181.0,0.0,tlx_632_c_h_32
1672553740,3688.0,0.0,tlx_632_c_h_32
1672553745,4175.0,0.0,tlx_632_c_h_32
1672553750,4303.0,0.0,tlx_632_c_h_32
1672553755,4691.0,0.0,tlx_632_c_h_32
1672553760,3540.0,0.0,tlx_632_c_h_32
1672553765,4532.0,0.0,tlx_632_c_h_32
1672553770,3366.0,0.0,tlx_632_c_h_32
1672553775,4311.0,0.0,tlx_632_c_h_32
1672553780,3819.0,0.0,tlx_632_c_h_32
1672553785,3327.0,0.0,tlx_632_c_h_32
1672553790,4345.0,0.0,tlx_632_c_h_32
1672553795,3904.0,0.0,tlx_632_c_h_32
1672553800,4190.0,0.0,tlx_632_c_h_32
1672553805,3355.0,0.0,tlx_632_c_h_32
1672553810,4016.0,0.0,tlx_632_c_h_32
1672553815,4035.0,0.0,tlx_632_c_h_32
1672553820,3623.0,0.0,tlx_632_c_h_32
1672553825,4093.0,0.0,tlx_632_c_h_32
1672553830,3672.0,0.0,tlx_632_c_h_32
1672553835,4344.0,0.0,tlx_632_c_h_32
1672553840,4118.0,0.0,tlx_632_c_h_32
1672553845,4320.0,0.0,tlx_632_c_h_32
1672553850,3094.0,0.0,tlx_632_c_h_32
1672553855,3490.0,0.0,tlx_632_c_h_32
1672553860,4231.0,0.0,tlx_632_c_h_32
1672553865,3269.0,0.0,tlx_632_c_h_32
1672553870,3768.0,0.0,tlx_632_c_h_32
1672553875,3232.0,0.0,tlx_632_c_h_32
1672553880,3549.0,0.0,tlx_632_c_h_32
1672553885,3761.0,0.0,tlx_632_c_h_32
1672553890,3060.0,0.0,tlx_632_c_h_32
1672553895,4219.0,0.0,tlx_632_c_h_32
1672553900,4986.0,0.0,tlx_632_c_h_32
1672553905,3000.0,0.0,tlx_632_c_h_32
1672553910,3673.0,0.0,tlx_632_c_h_32
1672553915,3322.0,0.0,tlx_632_c_h_32
1672553920,4922.0,0.0,tlx_632_c_h_32
1672553925,3996.0,0.0,tlx_632_c_h_32
1672553930,4530.0,0.0,tlx_632_c_h_32
1672553935,4279.0,0.0,tlx_632_c_h_32
1672553940,4956.0,0.0,tlx_632_c_h_32
1672553945,3099.0,0.0,tlx_632_c_h_32
1672553950,4142.0,0.0,tlx_632_c_h_32
1672553955,4598.0,0.0,tlx_632_c_h_32
1672553960,3779.0,0.0,tlx_632_c_h_32
1672553965,4391.0,0.0,tlx_632_c_h_32
1672553970,4951.0,0.0,tlx_632_c_h_32
1672553975,4566.0,0.0,tlx_632_c_h_32
1672553980,4288.0,0.0,tlx_632_c_h_32
1672553985,3608.0,0.0,tlx_632_c_h_32
1672553990,4180.0,0.0,tlx_632_c_h_32
1672553995,4637.0,0.0,tlx_632_c_h_32
1672554000,3004.0,0.0,tlx_632_c_h_32
1672554005,3526.0,0.0,tlx_632_c_h_32
1672554010,4895.0,0.0,tlx_632_c_h_32
1672554015,4644.0,0.0,tlx_632_c_h_32
1672554020,3081.0,0.0,tlx_632_c_h_32
1672554025,3646.0,0.0,tlx_632_c_h_32
1672554030,3300.0,0.0,tlx_632_c_h_32
1672554035,3848.0,0.0,tlx_632_c_h_32
1672554040,3217.0,0.0,tlx_632_c_h_32
1672554045,3953.0,0.0,tlx_632_c_h_32
1672554050,4043.0,0.0,tlx_632_c_h_32
1672554055,3610.0,0.0,tlx_632_c_h_32
1672554060,3363.0,0.0,tlx_632_c_h_32
1672554065,4467.0,0.0,tlx_632_c_h_32
1672554070,4269.0,0.0,tlx_632_c_h_32
1672554075,3048.0,0.0,tlx_632_c_h_32
1672554080,4851.0,0.0,tlx_632_c_h_32
1672554085,3372.0,0.0,tlx_632_c_h_32
1672554090,4164.0,0.0,tlx_632_c_h_32
1672554095,3862.0,0.0,tlx_632_c_h_32
1672554100,3309.0,0.0,tlx_632_c_h_32
1672554105,3456.0,0.0,tlx_632_c_h_32
1672554110,4718.0,0.0,tlx_632_c_h_32
1672554115,4045.0,0.0,tlx_632_c_h_32
1672554120,3874.0,0.0,tlx_632_c_h_32
1672554125,4745.0,0.0,tlx_632_c_h_32
1672554130,3469.0,0.0,tlx_632_c_h_32
1672554135,4732.0,0.0,tlx_632_c_h_32
1672554140,3503.0,0.0,tlx_632_c_h_32
1672554145,4335.0,0.0,tlx_632_c_h_32
1672554150,4468.0,0.0,tlx_632_c_h_32
1672554155,4134.0,0.0,tlx_632_c_h_32
1672554160,4662.0,0.0,tlx_632_c_h_32
1672554165,3680.0,0.0,tlx_632_c_h_32
1672554170,3162.0,0.0,tlx_632_c_h_32
1672554175,4240.0,0.0,tlx_632_c_h_32
1672554180,4543.0,0.0,tlx_632_c_h_32
1672554185,4612.0,0.0,tlx_632_c_h_32
1672554190,3023.0,0.0,tlx_632_c_h_32
1672554195,3148.0,0.0,tlx_632_c_h_32
1672554200,3127.0,0.0,tlx_632_c_h_32
1672554205,3557.0,0.0,tlx_632_c_h_32
1672554210,4193.0,0.0,tlx_632_c_h_32
1672554215,4553.0,0.0,tlx_632_c_h_32
1672554220,3023.0,0.0,tlx_632_c_h_32
1672554225,3624.0,0.0,tlx_632_c_h_32
1672554230,3823.0,0.0,tlx_632_c_h_32
1672554235,3327.0,0.0,tlx_632_c_h_32
1672554240,3125.0,0.0,tlx_632_c_h_32
1672554245,4925.0,0.0,tlx_632_c_h_32
1672554250,4868.0,0.0,tlx_632_c_h_32
1672554255,4875.0,0.0,tlx_632_c_h_32
1672554260,4846.0,0.0,tlx_632_c_h_32
