Time,DER_680_c_9_Watts,DER_680_c_9_Vars,DER_680_c_9_loc
1672552795,-4521.53,0.0,tlx_680_c_h_9
1672552800,-4521.53,0.0,tlx_680_c_h_9
1672552805,-4521.53,0.0,tlx_680_c_h_9
1672552810,-4521.53,0.0,tlx_680_c_h_9
1672552815,-4521.53,0.0,tlx_680_c_h_9
1672552820,-4521.53,0.0,tlx_680_c_h_9
1672552825,-4521.53,0.0,tlx_680_c_h_9
1672552830,-4521.53,0.0,tlx_680_c_h_9
1672552835,-4521.53,0.0,tlx_680_c_h_9
1672552840,-4521.53,0.0,tlx_680_c_h_9
1672552845,-4521.53,0.0,tlx_680_c_h_9
1672552850,-4521.53,0.0,tlx_680_c_h_9
1672552855,-4516.87,0.0,tlx_680_c_h_9
1672552860,-4516.87,0.0,tlx_680_c_h_9
1672552865,-4516.87,0.0,tlx_680_c_h_9
1672552870,-4516.87,0.0,tlx_680_c_h_9
1672552875,-4516.87,0.0,tlx_680_c_h_9
1672552880,-4516.87,0.0,tlx_680_c_h_9
1672552885,-4516.87,0.0,tlx_680_c_h_9
1672552890,-4516.87,0.0,tlx_680_c_h_9
1672552895,-4516.87,0.0,tlx_680_c_h_9
1672552900,-4516.87,0.0,tlx_680_c_h_9
1672552905,-4516.87,0.0,tlx_680_c_h_9
1672552910,-4516.87,0.0,tlx_680_c_h_9
1672552915,-4525.07,0.0,tlx_680_c_h_9
1672552920,-4525.07,0.0,tlx_680_c_h_9
1672552925,-4525.07,0.0,tlx_680_c_h_9
1672552930,-4525.07,0.0,tlx_680_c_h_9
1672552935,-4525.07,0.0,tlx_680_c_h_9
1672552940,-4525.07,0.0,tlx_680_c_h_9
1672552945,-4525.07,0.0,tlx_680_c_h_9
1672552950,-4525.07,0.0,tlx_680_c_h_9
1672552955,-4525.07,0.0,tlx_680_c_h_9
1672552960,-4525.07,0.0,tlx_680_c_h_9
1672552965,-4525.07,0.0,tlx_680_c_h_9
1672552970,-4525.07,0.0,tlx_680_c_h_9
1672552975,-4522.29,0.0,tlx_680_c_h_9
1672552980,-4522.29,0.0,tlx_680_c_h_9
1672552985,-4522.29,0.0,tlx_680_c_h_9
1672552990,-4522.29,0.0,tlx_680_c_h_9
1672552995,-4522.29,0.0,tlx_680_c_h_9
1672553000,-4522.29,0.0,tlx_680_c_h_9
1672553005,-4522.29,0.0,tlx_680_c_h_9
1672553010,-4522.29,0.0,tlx_680_c_h_9
1672553015,-4522.29,0.0,tlx_680_c_h_9
1672553020,-4522.29,0.0,tlx_680_c_h_9
1672553025,-4522.29,0.0,tlx_680_c_h_9
1672553030,-4522.29,0.0,tlx_680_c_h_9
1672553035,-4529.61,0.0,tlx_680_c_h_9
1672553040,-4529.61,0.0,tlx_680_c_h_9
1672553045,-4529.61,0.0,tlx_680_c_h_9
1672553050,-4529.61,0.0,tlx_680_c_h_9
