# file...... ./gld_outputs/tlx_632_a_h_18.csv
# date...... Sat May 27 12:46:40 2023
# user...... deras
# host...... (null)
# target.... triplex_meter 5295
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_power.imag
2023-05-19 17:00:00 UTC,+0
2023-05-19 17:01:00 UTC,+0
2023-05-19 17:02:00 UTC,+0
2023-05-19 17:03:00 UTC,+0
2023-05-19 17:04:00 UTC,+0
2023-05-19 17:05:00 UTC,+0
2023-05-19 17:06:00 UTC,+0
2023-05-19 17:07:00 UTC,+0
2023-05-19 17:08:00 UTC,+0
2023-05-19 17:09:00 UTC,+0
