LinearShuntCompensator cap2 n611 C _B2D1F8E7-90DF-4773-8703-549946B9DEC9 _4133D734-968F-462B-9433-F3F3C2C20130
LinearShuntCompensator cap1 n675 A _DAA4F642-744B-49D3-A689-E40BA4676FEA _6E23D362-5A29-45FB-BD24-26992A5A2124
LinearShuntCompensator cap1 n675 B _DAA4F642-744B-49D3-A689-E40BA4676FEA _6E23D362-5A29-45FB-BD24-26992A5A2124
LinearShuntCompensator cap1 n675 C _DAA4F642-744B-49D3-A689-E40BA4676FEA _6E23D362-5A29-45FB-BD24-26992A5A2124
PowerTransformer RatioTapChanger Reg 2 rg60 A _6D2E888E-3BEA-4AEA-B3AC-A91D4CAC55A6 _CDC5C099-5058-42AD-981F-57DD5F5D2655
PowerTransformer RatioTapChanger Reg 2 rg60 B _6D2E888E-3BEA-4AEA-B3AC-A91D4CAC55A6 _1D7A4152-CBC0-4BF5-8DCA-111AA6F08488
PowerTransformer RatioTapChanger Reg 2 rg60 C _6D2E888E-3BEA-4AEA-B3AC-A91D4CAC55A6 _7B8C70FB-84B2-4871-A602-C9A0CBD1C1B4
PowerElectronicsConnection BatteryUnit DER_611_c_1 DER_611_c_1 tlx_611_c_h_1 SoC _592029AF-D4AD-4EE6-A0A5-8B4268CD6FA2 _FEE23787-8114-467F-8A7B-570243181C77
PowerElectronicsConnection BatteryUnit DER_611_c_1 DER_611_c_1 tlx_611_c_h_1 s1 _592029AF-D4AD-4EE6-A0A5-8B4268CD6FA2 _FEE23787-8114-467F-8A7B-570243181C77
PowerElectronicsConnection BatteryUnit DER_611_c_1 DER_611_c_1 tlx_611_c_h_1 s2 _592029AF-D4AD-4EE6-A0A5-8B4268CD6FA2 _FEE23787-8114-467F-8A7B-570243181C77
PowerElectronicsConnection BatteryUnit DER_611_c_10 DER_611_c_10 tlx_611_c_h_10 SoC _2F6911C4-0E05-47F1-B120-F41530060398 _2EBF52AB-689D-4D48-8055-268E35CA2D13
PowerElectronicsConnection BatteryUnit DER_611_c_10 DER_611_c_10 tlx_611_c_h_10 s1 _2F6911C4-0E05-47F1-B120-F41530060398 _2EBF52AB-689D-4D48-8055-268E35CA2D13
PowerElectronicsConnection BatteryUnit DER_611_c_10 DER_611_c_10 tlx_611_c_h_10 s2 _2F6911C4-0E05-47F1-B120-F41530060398 _2EBF52AB-689D-4D48-8055-268E35CA2D13
PowerElectronicsConnection BatteryUnit DER_611_c_11 DER_611_c_11 tlx_611_c_h_11 SoC _AEAB01F7-3D05-484B-98B8-2617FCEE6AF4 _FF2ADB29-D225-4061-8435-DE95F756AE20
PowerElectronicsConnection BatteryUnit DER_611_c_11 DER_611_c_11 tlx_611_c_h_11 s1 _AEAB01F7-3D05-484B-98B8-2617FCEE6AF4 _FF2ADB29-D225-4061-8435-DE95F756AE20
PowerElectronicsConnection BatteryUnit DER_611_c_11 DER_611_c_11 tlx_611_c_h_11 s2 _AEAB01F7-3D05-484B-98B8-2617FCEE6AF4 _FF2ADB29-D225-4061-8435-DE95F756AE20
PowerElectronicsConnection BatteryUnit DER_611_c_12 DER_611_c_12 tlx_611_c_h_12 SoC _FB61B68A-10D7-4886-A8D4-DC9EAF9818B4 _44985139-EE5F-4004-B765-8E27B72B836E
PowerElectronicsConnection BatteryUnit DER_611_c_12 DER_611_c_12 tlx_611_c_h_12 s1 _FB61B68A-10D7-4886-A8D4-DC9EAF9818B4 _44985139-EE5F-4004-B765-8E27B72B836E
PowerElectronicsConnection BatteryUnit DER_611_c_12 DER_611_c_12 tlx_611_c_h_12 s2 _FB61B68A-10D7-4886-A8D4-DC9EAF9818B4 _44985139-EE5F-4004-B765-8E27B72B836E
PowerElectronicsConnection BatteryUnit DER_611_c_13 DER_611_c_13 tlx_611_c_h_13 SoC _3485EE56-D9BD-475F-ACFC-860A522AE46D _8BC7D195-F348-4BA2-A07D-45CA11484945
PowerElectronicsConnection BatteryUnit DER_611_c_13 DER_611_c_13 tlx_611_c_h_13 s1 _3485EE56-D9BD-475F-ACFC-860A522AE46D _8BC7D195-F348-4BA2-A07D-45CA11484945
PowerElectronicsConnection BatteryUnit DER_611_c_13 DER_611_c_13 tlx_611_c_h_13 s2 _3485EE56-D9BD-475F-ACFC-860A522AE46D _8BC7D195-F348-4BA2-A07D-45CA11484945
PowerElectronicsConnection BatteryUnit DER_611_c_14 DER_611_c_14 tlx_611_c_h_14 SoC _8DC3C7D7-33AA-4083-B0B0-D45E3E84CE67 _EE485787-B91C-408B-AACC-23FF280099B0
PowerElectronicsConnection BatteryUnit DER_611_c_14 DER_611_c_14 tlx_611_c_h_14 s1 _8DC3C7D7-33AA-4083-B0B0-D45E3E84CE67 _EE485787-B91C-408B-AACC-23FF280099B0
PowerElectronicsConnection BatteryUnit DER_611_c_14 DER_611_c_14 tlx_611_c_h_14 s2 _8DC3C7D7-33AA-4083-B0B0-D45E3E84CE67 _EE485787-B91C-408B-AACC-23FF280099B0
PowerElectronicsConnection BatteryUnit DER_611_c_15 DER_611_c_15 tlx_611_c_h_15 SoC _45768DAC-A1B4-4777-A442-1353AE8EEA2A _B88A2C6E-F697-4459-8B97-73063E70EE0C
PowerElectronicsConnection BatteryUnit DER_611_c_15 DER_611_c_15 tlx_611_c_h_15 s1 _45768DAC-A1B4-4777-A442-1353AE8EEA2A _B88A2C6E-F697-4459-8B97-73063E70EE0C
