LinearShuntCompensator cap2 611 C _9D725810-BFD6-44C6-961A-2BC027F6FC95 _FD3834FF-6C3B-434F-A41D-77EB8237F53D
LinearShuntCompensator cap1 675 A _A9DE8829-58CB-4750-B2A2-672846A89753 _5B38070B-E918-4EAA-8BDB-8B3CE4F8A917
LinearShuntCompensator cap1 675 B _A9DE8829-58CB-4750-B2A2-672846A89753 _5B38070B-E918-4EAA-8BDB-8B3CE4F8A917
LinearShuntCompensator cap1 675 C _A9DE8829-58CB-4750-B2A2-672846A89753 _5B38070B-E918-4EAA-8BDB-8B3CE4F8A917
PowerTransformer RatioTapChanger Reg 2 rg60 A _67B57539-590B-4158-9CBB-9DBA2FE6C1F0 _5A1120EE-0F2A-4698-9FF5-0F0F4F507BAF
PowerTransformer RatioTapChanger Reg 2 rg60 B _67B57539-590B-4158-9CBB-9DBA2FE6C1F0 _02CD5661-C654-43F6-8D1A-0D666070BB81
PowerTransformer RatioTapChanger Reg 2 rg60 C _67B57539-590B-4158-9CBB-9DBA2FE6C1F0 _F5258B9A-B51E-40DD-9A06-5918E41F3C35
PowerElectronicsConnection BatteryUnit DER_2p_Test_645 DER_2p_Test_645_Battery 645 SoC _729312DF-9D07-4150-AFCE-9ED92F9694A4 _9A20E1E0-45EF-4420-BDB2-DA76250EC002
PowerElectronicsConnection BatteryUnit DER_2p_Test_645 DER_2p_Test_645_Battery 645 B _729312DF-9D07-4150-AFCE-9ED92F9694A4 _9A20E1E0-45EF-4420-BDB2-DA76250EC002
PowerElectronicsConnection BatteryUnit DER_2p_Test_645 DER_2p_Test_645_Battery 645 C _729312DF-9D07-4150-AFCE-9ED92F9694A4 _9A20E1E0-45EF-4420-BDB2-DA76250EC002
PowerElectronicsConnection BatteryUnit DER_Association_Test_6321 DER_Association_Test_6321_Battery 632 SoC _59D7F5F6-6ECA-4FE8-A7C0-B99A1D6252EC _251DC37F-2EED-4CC4-89F7-A5DF1640B2A7
PowerElectronicsConnection BatteryUnit DER_Association_Test_6321 DER_Association_Test_6321_Battery 632 A _59D7F5F6-6ECA-4FE8-A7C0-B99A1D6252EC _251DC37F-2EED-4CC4-89F7-A5DF1640B2A7
PowerElectronicsConnection BatteryUnit DER_Association_Test_6321 DER_Association_Test_6321_Battery 632 B _59D7F5F6-6ECA-4FE8-A7C0-B99A1D6252EC _251DC37F-2EED-4CC4-89F7-A5DF1640B2A7
PowerElectronicsConnection BatteryUnit DER_Association_Test_6321 DER_Association_Test_6321_Battery 632 C _59D7F5F6-6ECA-4FE8-A7C0-B99A1D6252EC _251DC37F-2EED-4CC4-89F7-A5DF1640B2A7
PowerElectronicsConnection BatteryUnit DER_Association_Test_6322 DER_Association_Test_6322_Battery 632 SoC _299988A5-6A36-44CC-9CB0-288ACC1292E6 _991BAF4C-2AAC-4C13-88B8-330132CCBF95
PowerElectronicsConnection BatteryUnit DER_Association_Test_6322 DER_Association_Test_6322_Battery 632 A _299988A5-6A36-44CC-9CB0-288ACC1292E6 _991BAF4C-2AAC-4C13-88B8-330132CCBF95
PowerElectronicsConnection BatteryUnit DER_Association_Test_6322 DER_Association_Test_6322_Battery 632 B _299988A5-6A36-44CC-9CB0-288ACC1292E6 _991BAF4C-2AAC-4C13-88B8-330132CCBF95
PowerElectronicsConnection BatteryUnit DER_Association_Test_6322 DER_Association_Test_6322_Battery 632 C _299988A5-6A36-44CC-9CB0-288ACC1292E6 _991BAF4C-2AAC-4C13-88B8-330132CCBF95
PowerElectronicsConnection BatteryUnit DER_Association_Test_6323 DER_Association_Test_6323_Battery 632 SoC _21967842-61FB-4866-A4CC-1053DDCB1FF7 _F0B44989-B8AE-42C5-89D4-737B2E2ECB69
