# file...... 41746485.csv
# date...... Fri Mar  3 23:17:58 2023
# user...... (null)
# host...... (null)
# target.... helics_msg 0
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,message_type
2023-03-03 23:16:14 UTC,JSON
2023-03-03 23:16:15 UTC,JSON
2023-03-03 23:16:16 UTC,JSON
2023-03-03 23:16:17 UTC,JSON
2023-03-03 23:16:18 UTC,JSON
2023-03-03 23:16:19 UTC,JSON
2023-03-03 23:16:20 UTC,JSON
2023-03-03 23:16:21 UTC,JSON
2023-03-03 23:16:22 UTC,JSON
2023-03-03 23:16:23 UTC,JSON
2023-03-03 23:16:24 UTC,JSON
