n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2390.7619882945773 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2390.7619882945773 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2390.7619882945773 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.9354202874083 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.9354202874083 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.9354202874083 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.9702923465243 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.9702923465243 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.9702923465243 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.9765585453038 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.9765585453038 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.9765585453038 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.9765968938254 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.9765968938254 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.9765968938254 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.988579435488 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.988579435488 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2395.988579435488 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.428065890045 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.428065890045 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage 	 2394.428065890045 	 B
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2383.6023533991 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2383.6023533991 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2383.6023533991 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.1088497348605 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.1088497348605 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.1088497348605 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.1385124536077 	 C
n645 	 ol632-645 	 ACLineSegment_ol632-645_Voltage.1 	 2380.1385124536077 	 C
