LinearShuntCompensator cap2 n611 C _914AAA0D-2390-4529-AB33-AEE59E116A6E _4D4249B6-B1C1-4FFB-923B-8E1FE55E8212
LinearShuntCompensator cap1 n675 A _7C6EAEF9-003B-4DF0-AEAE-672CB06A1A11 _55B6FCAE-2AAD-4446-ABC5-5B74EF3989F4
LinearShuntCompensator cap1 n675 B _7C6EAEF9-003B-4DF0-AEAE-672CB06A1A11 _55B6FCAE-2AAD-4446-ABC5-5B74EF3989F4
LinearShuntCompensator cap1 n675 C _7C6EAEF9-003B-4DF0-AEAE-672CB06A1A11 _55B6FCAE-2AAD-4446-ABC5-5B74EF3989F4
PowerTransformer RatioTapChanger Reg 2 rg60 A _3508623F-8B18-43E5-9C47-076265A27FC5 _DEF7E7E5-E406-4D86-8437-C9DB746F5C18
PowerTransformer RatioTapChanger Reg 2 rg60 B _3508623F-8B18-43E5-9C47-076265A27FC5 _0A5414E3-0D69-44DE-B9C2-476F003CD747
PowerTransformer RatioTapChanger Reg 2 rg60 C _3508623F-8B18-43E5-9C47-076265A27FC5 _E61F8ADA-1BC7-43D6-8471-CF0728C0F4D9
PowerElectronicsConnection BatteryUnit trip_load_611_c_1 trip_load_611_c_1_Battery tlx_611_c_h_1 SoC _4F2B16DD-2A41-42BA-AC41-5E6FEEA97796 _F31E2540-C880-4676-9FD1-9E0694871118
PowerElectronicsConnection BatteryUnit trip_load_611_c_1 trip_load_611_c_1_Battery tlx_611_c_h_1 s1 _4F2B16DD-2A41-42BA-AC41-5E6FEEA97796 _F31E2540-C880-4676-9FD1-9E0694871118
PowerElectronicsConnection BatteryUnit trip_load_611_c_1 trip_load_611_c_1_Battery tlx_611_c_h_1 s2 _4F2B16DD-2A41-42BA-AC41-5E6FEEA97796 _F31E2540-C880-4676-9FD1-9E0694871118
PowerElectronicsConnection BatteryUnit trip_load_611_c_10 trip_load_611_c_10_Battery tlx_611_c_h_10 SoC _FF2A5C1A-FA21-4D91-9D42-CE799D6550FB _8FA5DC95-F4D0-4418-BE9A-1DE50871194B
PowerElectronicsConnection BatteryUnit trip_load_611_c_10 trip_load_611_c_10_Battery tlx_611_c_h_10 s1 _FF2A5C1A-FA21-4D91-9D42-CE799D6550FB _8FA5DC95-F4D0-4418-BE9A-1DE50871194B
PowerElectronicsConnection BatteryUnit trip_load_611_c_10 trip_load_611_c_10_Battery tlx_611_c_h_10 s2 _FF2A5C1A-FA21-4D91-9D42-CE799D6550FB _8FA5DC95-F4D0-4418-BE9A-1DE50871194B
PowerElectronicsConnection BatteryUnit trip_load_611_c_11 trip_load_611_c_11_Battery tlx_611_c_h_11 SoC _11FEE6E4-36CB-49EF-8162-8120DB275CC0 _84ACBD33-BB2A-4C05-9ED1-93A7F2E8C76B
PowerElectronicsConnection BatteryUnit trip_load_611_c_11 trip_load_611_c_11_Battery tlx_611_c_h_11 s1 _11FEE6E4-36CB-49EF-8162-8120DB275CC0 _84ACBD33-BB2A-4C05-9ED1-93A7F2E8C76B
