# file...... ./gld_outputs/measures_tlx_inv_3_phase.csv
# date...... Sat May 27 12:18:53 2023
# user...... deras
# host...... (null)
# target.... meter 21
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power.real, voltage_A,voltage_B,voltage_C
2023-01-01 00:00:00 UTC,+19695.4,+2395.25-0.554062d,+2407.09-119.955d,+2398.16+120.076d
2023-01-01 00:01:00 UTC,+26351.6,+2392.34-0.738933d,+2408.97-119.943d,+2397.03+120.105d
2023-01-01 00:02:00 UTC,+15724.2,+2396.82-0.443211d,+2405.99-119.963d,+2398.86+120.06d
2023-01-01 00:03:00 UTC,+13085.9,+2397.79-0.369332d,+2405.27-119.968d,+2399.33+120.049d
2023-01-01 00:04:00 UTC,+31577.5,+2389.79-0.883286d,+2410.47-119.936d,+2396.17+120.129d
2023-01-01 00:05:00 UTC,+53443.4,+2387.25-1.52785d,+2416-119.863d,+2391.6+120.198d
2023-01-01 00:06:00 UTC,+15724.2,+2396.82-0.443212d,+2405.99-119.963d,+2398.86+120.06d
2023-01-01 00:07:00 UTC,+10454.8,+2398.7-0.295463d,+2404.56-119.974d,+2399.81+120.039d
2023-01-01 00:08:00 UTC,+39814.5,+2385.29-1.10943d,+2412.88-119.927d,+2394.89+120.168d
2023-01-01 00:09:00 UTC,+21022.9,+2394.7-0.591023d,+2407.46-119.952d,+2397.93+120.082d
