# file...... ./gld_outputs/substation_meter_data.csv
# date...... Sat May 27 12:18:53 2023
# user...... deras
# host...... (null)
# target.... meter 16
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A,measured_voltage_B,measured_voltage_C,measured_power
2023-01-01 00:00:00 UTC,+2398.29-0.34729d,+2402.06-119.998d,+2401.59+120.004d,+19755.3+3.61361d
2023-01-01 00:01:00 UTC,+2396.66-0.463401d,+2402.16-119.997d,+2401.53+120.006d,+26483.7+4.85359d
2023-01-01 00:02:00 UTC,+2399.16-0.277721d,+2402-119.998d,+2401.62+120.003d,+15757.2+2.87971d
2023-01-01 00:03:00 UTC,+2399.68-0.231377d,+2401.96-119.998d,+2401.65+120.003d,+13106.4+2.39376d
2023-01-01 00:04:00 UTC,+2395.22-0.554132d,+2402.24-119.997d,+2401.48+120.007d,+31796+5.83711d
2023-01-01 00:05:00 UTC,+2394.19-0.954311d,+2402.53-119.993d,+2401.24+120.01d,+53598.7+0.601754d
2023-01-01 00:06:00 UTC,+2399.16-0.277721d,+2402-119.998d,+2401.62+120.003d,+15757.3+2.8795d
2023-01-01 00:07:00 UTC,+2400.17-0.185059d,+2401.92-119.999d,+2401.67+120.002d,+10466.4+1.9106d
2023-01-01 00:08:00 UTC,+2392.62-0.696381d,+2402.36-119.996d,+2401.41+120.009d,+40236.6+7.41063d
2023-01-01 00:09:00 UTC,+2397.99-0.370496d,+2402.08-119.997d,+2401.57+120.004d,+21094.3+3.85984d
