# file...... ./gld_outputs/measures_tlx_inv_1_phase.csv
# date...... Sat May 27 12:18:53 2023
# user...... deras
# host...... (null)
# target.... triplex_meter 23
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_real_power.real, voltage_12.real
2023-01-01 00:00:00 UTC,+19500,+236.164
2023-01-01 00:00:01 UTC,+19500,+236.164
2023-01-01 00:00:02 UTC,+19500,+236.164
2023-01-01 00:00:03 UTC,+19500,+236.164
2023-01-01 00:00:04 UTC,+19500,+236.164
2023-01-01 00:00:05 UTC,+19500,+236.164
2023-01-01 00:00:06 UTC,+19500,+236.164
2023-01-01 00:00:07 UTC,+19500,+236.164
2023-01-01 00:00:08 UTC,+19500,+236.164
2023-01-01 00:00:09 UTC,+19500,+236.164
2023-01-01 00:00:10 UTC,+19500,+236.164
2023-01-01 00:00:11 UTC,+19500,+236.164
2023-01-01 00:00:12 UTC,+19500,+236.164
2023-01-01 00:00:13 UTC,+19500,+236.164
2023-01-01 00:00:14 UTC,+19500,+236.164
2023-01-01 00:00:15 UTC,+19500,+236.164
2023-01-01 00:00:16 UTC,+19500,+236.164
2023-01-01 00:00:17 UTC,+19500,+236.164
2023-01-01 00:00:18 UTC,+19500,+236.164
2023-01-01 00:00:19 UTC,+19500,+236.164
2023-01-01 00:00:20 UTC,+19500,+236.164
2023-01-01 00:00:21 UTC,+19500,+236.164
2023-01-01 00:00:22 UTC,+19500,+236.164
2023-01-01 00:00:23 UTC,+19500,+236.164
2023-01-01 00:00:24 UTC,+19500,+236.164
2023-01-01 00:00:25 UTC,+19500,+236.164
2023-01-01 00:00:26 UTC,+19500,+236.164
2023-01-01 00:00:27 UTC,+19500,+236.164
2023-01-01 00:00:28 UTC,+19500,+236.164
2023-01-01 00:00:29 UTC,+19500,+236.164
2023-01-01 00:00:30 UTC,+19500,+236.164
2023-01-01 00:00:31 UTC,+19500,+236.164
2023-01-01 00:00:32 UTC,+19500,+236.164
2023-01-01 00:00:33 UTC,+19500,+236.164
2023-01-01 00:00:34 UTC,+19500,+236.164
2023-01-01 00:00:35 UTC,+19500,+236.164
2023-01-01 00:00:36 UTC,+19500,+236.164
2023-01-01 00:00:37 UTC,+19500,+236.164
2023-01-01 00:00:38 UTC,+19500,+236.164
2023-01-01 00:00:39 UTC,+19500,+236.164
2023-01-01 00:00:40 UTC,+19500,+236.164
2023-01-01 00:00:41 UTC,+19500,+236.164
2023-01-01 00:00:42 UTC,+19500,+236.164
2023-01-01 00:00:43 UTC,+19500,+236.164
2023-01-01 00:00:44 UTC,+19500,+236.164
2023-01-01 00:00:45 UTC,+19500,+236.164
2023-01-01 00:00:46 UTC,+19500,+236.164
2023-01-01 00:00:47 UTC,+19500,+236.164
2023-01-01 00:00:48 UTC,+19500,+236.164
2023-01-01 00:00:49 UTC,+19500,+236.164
2023-01-01 00:00:50 UTC,+19500,+236.164
2023-01-01 00:00:51 UTC,+19500,+236.164
2023-01-01 00:00:52 UTC,+19500,+236.164
2023-01-01 00:00:53 UTC,+19500,+236.164
2023-01-01 00:00:54 UTC,+19500,+236.164
2023-01-01 00:00:55 UTC,+19500,+236.164
2023-01-01 00:00:56 UTC,+19500,+236.164
2023-01-01 00:00:57 UTC,+19500,+236.164
2023-01-01 00:00:58 UTC,+19500,+236.164
2023-01-01 00:00:59 UTC,+19500,+236.164
2023-01-01 00:01:00 UTC,+26000,+234.276
2023-01-01 00:01:01 UTC,+26000,+234.276
2023-01-01 00:01:02 UTC,+26000,+234.276
2023-01-01 00:01:03 UTC,+26000,+234.276
2023-01-01 00:01:04 UTC,+26000,+234.276
2023-01-01 00:01:05 UTC,+26000,+234.276
2023-01-01 00:01:06 UTC,+26000,+234.276
2023-01-01 00:01:07 UTC,+26000,+234.276
2023-01-01 00:01:08 UTC,+26000,+234.276
2023-01-01 00:01:09 UTC,+26000,+234.276
2023-01-01 00:01:10 UTC,+26000,+234.276
2023-01-01 00:01:11 UTC,+26000,+234.276
2023-01-01 00:01:12 UTC,+26000,+234.276
2023-01-01 00:01:13 UTC,+26000,+234.276
2023-01-01 00:01:14 UTC,+26000,+234.276
2023-01-01 00:01:15 UTC,+26000,+234.276
2023-01-01 00:01:16 UTC,+26000,+234.276
2023-01-01 00:01:17 UTC,+26000,+234.276
2023-01-01 00:01:18 UTC,+26000,+234.276
2023-01-01 00:01:19 UTC,+26000,+234.276
2023-01-01 00:01:20 UTC,+26000,+234.276
2023-01-01 00:01:21 UTC,+26000,+234.276
2023-01-01 00:01:22 UTC,+26000,+234.276
2023-01-01 00:01:23 UTC,+26000,+234.276
2023-01-01 00:01:24 UTC,+26000,+234.276
2023-01-01 00:01:25 UTC,+26000,+234.276
2023-01-01 00:01:26 UTC,+26000,+234.276
2023-01-01 00:01:27 UTC,+26000,+234.276
2023-01-01 00:01:28 UTC,+26000,+234.276
2023-01-01 00:01:29 UTC,+26000,+234.276
2023-01-01 00:01:30 UTC,+26000,+234.276
2023-01-01 00:01:31 UTC,+26000,+234.276
2023-01-01 00:01:32 UTC,+26000,+234.276
2023-01-01 00:01:33 UTC,+26000,+234.276
2023-01-01 00:01:34 UTC,+26000,+234.276
2023-01-01 00:01:35 UTC,+26000,+234.276
2023-01-01 00:01:36 UTC,+26000,+234.276
2023-01-01 00:01:37 UTC,+26000,+234.276
2023-01-01 00:01:38 UTC,+26000,+234.276
2023-01-01 00:01:39 UTC,+26000,+234.276
2023-01-01 00:01:40 UTC,+26000,+234.276
2023-01-01 00:01:41 UTC,+26000,+234.276
2023-01-01 00:01:42 UTC,+26000,+234.276
2023-01-01 00:01:43 UTC,+26000,+234.276
2023-01-01 00:01:44 UTC,+26000,+234.276
2023-01-01 00:01:45 UTC,+26000,+234.276
2023-01-01 00:01:46 UTC,+26000,+234.276
2023-01-01 00:01:47 UTC,+26000,+234.276
2023-01-01 00:01:48 UTC,+26000,+234.276
2023-01-01 00:01:49 UTC,+26000,+234.276
2023-01-01 00:01:50 UTC,+26000,+234.276
2023-01-01 00:01:51 UTC,+26000,+234.276
2023-01-01 00:01:52 UTC,+26000,+234.276
2023-01-01 00:01:53 UTC,+26000,+234.276
2023-01-01 00:01:54 UTC,+26000,+234.276
2023-01-01 00:01:55 UTC,+26000,+234.276
2023-01-01 00:01:56 UTC,+26000,+234.276
2023-01-01 00:01:57 UTC,+26000,+234.276
2023-01-01 00:01:58 UTC,+26000,+234.276
2023-01-01 00:01:59 UTC,+26000,+234.276
2023-01-01 00:02:00 UTC,+15600,+237.161
2023-01-01 00:02:01 UTC,+15600,+237.161
2023-01-01 00:02:02 UTC,+15600,+237.161
2023-01-01 00:02:03 UTC,+15600,+237.161
2023-01-01 00:02:04 UTC,+15600,+237.161
2023-01-01 00:02:05 UTC,+15600,+237.161
2023-01-01 00:02:06 UTC,+15600,+237.161
2023-01-01 00:02:07 UTC,+15600,+237.161
2023-01-01 00:02:08 UTC,+15600,+237.161
2023-01-01 00:02:09 UTC,+15600,+237.161
2023-01-01 00:02:10 UTC,+15600,+237.161
2023-01-01 00:02:11 UTC,+15600,+237.161
2023-01-01 00:02:12 UTC,+15600,+237.161
2023-01-01 00:02:13 UTC,+15600,+237.161
2023-01-01 00:02:14 UTC,+15600,+237.161
2023-01-01 00:02:15 UTC,+15600,+237.161
2023-01-01 00:02:16 UTC,+15600,+237.161
2023-01-01 00:02:17 UTC,+15600,+237.161
2023-01-01 00:02:18 UTC,+15600,+237.161
2023-01-01 00:02:19 UTC,+15600,+237.161
2023-01-01 00:02:20 UTC,+15600,+237.161
2023-01-01 00:02:21 UTC,+15600,+237.161
2023-01-01 00:02:22 UTC,+15600,+237.161
2023-01-01 00:02:23 UTC,+15600,+237.161
2023-01-01 00:02:24 UTC,+15600,+237.161
2023-01-01 00:02:25 UTC,+15600,+237.161
2023-01-01 00:02:26 UTC,+15600,+237.161
