Time,DER861_mag,DER861_loc
1672531200,0,tlx_633_b_h_23
1672531230,5000,tlx_633_b_h_23
1672531260,0,tlx_633_b_h_23
1672531290,0,tlx_633_b_h_23
1672531320,0,tlx_633_b_h_23
1672531350,4498,tlx_633_b_h_23
1672531380,4495,tlx_633_b_h_23
1672531410,4488,tlx_633_b_h_23
1672531440,4486,tlx_633_b_h_23
1672531470,4486,tlx_633_b_h_23
1672531500,4494,tlx_633_b_h_23
1672531530,4495,tlx_633_b_h_23
1672531560,4495,tlx_633_b_h_23
1672531590,4491,tlx_633_b_h_23
1672531620,4492,tlx_633_b_h_23
1672531650,4494,tlx_633_b_h_23
1672531680,4491,tlx_633_b_h_23
1672531710,4486,tlx_633_b_h_23
1672531740,4493,tlx_633_b_h_23
1672531770,4497,tlx_633_b_h_23
