Time,DER841_mag,DER841_loc
1672531200,0,tlx_680_b_h_22
1672531230,5000,tlx_680_b_h_22
1672531260,0,tlx_680_b_h_22
1672531290,0,tlx_680_b_h_22
1672531320,0,tlx_680_b_h_22
1672531350,0,tlx_680_b_h_22
1672531380,0,tlx_680_b_h_22
1672531410,0,tlx_680_b_h_22
1672531440,0,tlx_680_b_h_22
1672531470,0,tlx_680_b_h_22
1672531500,0,tlx_680_b_h_22
1672531530,0,tlx_680_b_h_22
1672531560,0,tlx_680_b_h_22
1672531590,0,tlx_680_b_h_22
1672531620,0,tlx_680_b_h_22
1672531650,0,tlx_680_b_h_22
1672531680,0,tlx_680_b_h_22
1672531710,0,tlx_680_b_h_22
1672531740,0,tlx_680_b_h_22
1672531770,0,tlx_680_b_h_22
