Time,DER101_mag,DER101_loc
1672531200,0,tlx_671_c_h_29
1672531230,5000,tlx_671_c_h_29
1672531260,0,tlx_671_c_h_29
1672531290,0,tlx_671_c_h_29
1672531320,0,tlx_671_c_h_29
1672531350,0,tlx_671_c_h_29
1672531380,0,tlx_671_c_h_29
1672531410,0,tlx_671_c_h_29
1672531440,0,tlx_671_c_h_29
1672531470,0,tlx_671_c_h_29
1672531500,0,tlx_671_c_h_29
1672531530,0,tlx_671_c_h_29
1672531560,0,tlx_671_c_h_29
1672531590,0,tlx_671_c_h_29
1672531620,0,tlx_671_c_h_29
1672531650,4481,tlx_671_c_h_29
1672531680,4478,tlx_671_c_h_29
1672531710,4475,tlx_671_c_h_29
1672531740,4469,tlx_671_c_h_29
1672531770,4465,tlx_671_c_h_29
