Time,DER36_mag,DER36_loc
1672531200,0,tlx_632_a_h_15
1672531230,5000,tlx_632_a_h_15
1672531260,0,tlx_632_a_h_15
1672531290,0,tlx_632_a_h_15
1672531320,0,tlx_632_a_h_15
1672531350,0,tlx_632_a_h_15
1672531380,0,tlx_632_a_h_15
1672531410,0,tlx_632_a_h_15
1672531440,4484,tlx_632_a_h_15
1672531470,4484,tlx_632_a_h_15
1672531500,4492,tlx_632_a_h_15
1672531530,4494,tlx_632_a_h_15
1672531560,4493,tlx_632_a_h_15
1672531590,0,tlx_632_a_h_15
1672531620,0,tlx_632_a_h_15
1672531650,0,tlx_632_a_h_15
1672531680,0,tlx_632_a_h_15
1672531710,0,tlx_632_a_h_15
1672531740,4492,tlx_632_a_h_15
1672531770,4497,tlx_632_a_h_15
