Time,DER893_mag,DER893_loc
1672531200,0,tlx_680_b_h_1
1672531230,5000,tlx_680_b_h_1
1672531260,4489,tlx_680_b_h_1
1672531290,4484,tlx_680_b_h_1
1672531320,4482,tlx_680_b_h_1
1672531350,4488,tlx_680_b_h_1
1672531380,4492,tlx_680_b_h_1
1672531410,4499,tlx_680_b_h_1
1672531440,4498,tlx_680_b_h_1
1672531470,4505,tlx_680_b_h_1
1672531500,0,tlx_680_b_h_1
1672531530,0,tlx_680_b_h_1
1672531560,0,tlx_680_b_h_1
1672531590,0,tlx_680_b_h_1
1672531620,0,tlx_680_b_h_1
1672531650,0,tlx_680_b_h_1
1672531680,0,tlx_680_b_h_1
1672531710,0,tlx_680_b_h_1
1672531740,0,tlx_680_b_h_1
1672531770,0,tlx_680_b_h_1
