Time,DER66_mag,DER66_loc
1672531200,0,tlx_692_a_h_37
1672531230,5000,tlx_692_a_h_37
1672531260,4491,tlx_692_a_h_37
1672531290,4490,tlx_692_a_h_37
1672531320,4490,tlx_692_a_h_37
1672531350,4487,tlx_692_a_h_37
1672531380,4485,tlx_692_a_h_37
1672531410,4490,tlx_692_a_h_37
1672531440,4491,tlx_692_a_h_37
1672531470,4482,tlx_692_a_h_37
1672531500,4478,tlx_692_a_h_37
1672531530,4478,tlx_692_a_h_37
1672531560,4483,tlx_692_a_h_37
1672531590,4484,tlx_692_a_h_37
1672531620,4486,tlx_692_a_h_37
1672531650,4480,tlx_692_a_h_37
1672531680,4478,tlx_692_a_h_37
1672531710,4474,tlx_692_a_h_37
1672531740,4468,tlx_692_a_h_37
1672531770,4464,tlx_692_a_h_37
