Time,DER82_mag,DER82_loc
1672531200,0,tlx_692_b_h_8
1672531230,5000,tlx_692_b_h_8
1672531260,0,tlx_692_b_h_8
1672531290,0,tlx_692_b_h_8
1672531320,4491,tlx_692_b_h_8
1672531350,4488,tlx_692_b_h_8
1672531380,4486,tlx_692_b_h_8
1672531410,0,tlx_692_b_h_8
1672531440,0,tlx_692_b_h_8
1672531470,4483,tlx_692_b_h_8
1672531500,4479,tlx_692_b_h_8
1672531530,4479,tlx_692_b_h_8
1672531560,4484,tlx_692_b_h_8
1672531590,4482,tlx_692_b_h_8
1672531620,4484,tlx_692_b_h_8
1672531650,4478,tlx_692_b_h_8
1672531680,4476,tlx_692_b_h_8
1672531710,4472,tlx_692_b_h_8
1672531740,4466,tlx_692_b_h_8
1672531770,4462,tlx_692_b_h_8
