Time,DER143_mag,DER143_loc
1672531200,0,tlx_645_b_h_27
1672531230,5000,tlx_645_b_h_27
1672531260,0,tlx_645_b_h_27
1672531290,0,tlx_645_b_h_27
1672531320,0,tlx_645_b_h_27
1672531350,4498,tlx_645_b_h_27
1672531380,4495,tlx_645_b_h_27
1672531410,4487,tlx_645_b_h_27
1672531440,4485,tlx_645_b_h_27
1672531470,4485,tlx_645_b_h_27
1672531500,4493,tlx_645_b_h_27
1672531530,4495,tlx_645_b_h_27
1672531560,4494,tlx_645_b_h_27
1672531590,4491,tlx_645_b_h_27
1672531620,0,tlx_645_b_h_27
1672531650,0,tlx_645_b_h_27
1672531680,0,tlx_645_b_h_27
1672531710,0,tlx_645_b_h_27
1672531740,0,tlx_645_b_h_27
1672531770,0,tlx_645_b_h_27
