Time,DER738_mag,DER738_loc
1672531200,4493,tlx_633_a_h_38
1672531230,5000,tlx_633_a_h_38
1672531260,4500,tlx_633_a_h_38
1672531290,4501,tlx_633_a_h_38
1672531320,4503,tlx_633_a_h_38
1672531350,4498,tlx_633_a_h_38
1672531380,4495,tlx_633_a_h_38
1672531410,4488,tlx_633_a_h_38
1672531440,4487,tlx_633_a_h_38
1672531470,4487,tlx_633_a_h_38
1672531500,4494,tlx_633_a_h_38
1672531530,4496,tlx_633_a_h_38
1672531560,4495,tlx_633_a_h_38
1672531590,4491,tlx_633_a_h_38
1672531620,4492,tlx_633_a_h_38
1672531650,4497,tlx_633_a_h_38
1672531680,4494,tlx_633_a_h_38
1672531710,4489,tlx_633_a_h_38
1672531740,4496,tlx_633_a_h_38
1672531770,4500,tlx_633_a_h_38
