Time,DER600_mag,DER600_loc
1672531200,4529,tlx_692_c_h_4
1672531230,5000,tlx_692_c_h_4
1672531260,4528,tlx_692_c_h_4
1672531290,4528,tlx_692_c_h_4
1672531320,4529,tlx_692_c_h_4
1672531350,4529,tlx_692_c_h_4
1672531380,0,tlx_692_c_h_4
1672531410,0,tlx_692_c_h_4
1672531440,0,tlx_692_c_h_4
1672531470,0,tlx_692_c_h_4
1672531500,4530,tlx_692_c_h_4
1672531530,4529,tlx_692_c_h_4
1672531560,4529,tlx_692_c_h_4
1672531590,4529,tlx_692_c_h_4
1672531620,4529,tlx_692_c_h_4
1672531650,4530,tlx_692_c_h_4
1672531680,0,tlx_692_c_h_4
1672531710,0,tlx_692_c_h_4
1672531740,0,tlx_692_c_h_4
1672531770,4530,tlx_692_c_h_4
