Time,LOGDER0001_Watts,LOGDER0001_VARs,LOGDER0001_loc
1570041113,0,0,n632
1570041114,0,0,n632
1570041115,0,0,n632
1570041116,0,0,n632
1570041117,0,0,n632
1570041118,0,0,n632
1570041119,0,0,n632
1570041120,0,0,n632
1570041121,0,0,n632
1570041122,0,0,n632
1570041123,0,0,n632
1570041124,0,0,n632
1570041125,0,0,n632
1570041126,10000000,0,n632
1570041127,10000000,0,n632
1570041128,10000000,0,n632
1570041129,10000000,0,n632
1570041130,10000000,0,n632
1570041131,0,0,n632
1570041132,0,0,n632
1570041133,0,0,n632
1570041134,0,0,n632
1570041135,0,0,n632
1570041136,0,0,n632
1570041137,0,0,n632
1570041138,0,0,n632
1570041139,0,0,n632
1570041140,0,0,n632
1570041141,0,0,n632
1570041142,0,0,n632
1570041143,0,0,n632
1570041144,0,0,n632
