Time,DER893_Watts,DER893_VARs,HOUSE893_mag,DER893_loc
1672531200,0,0,1240,tlx_633_c_h_14
1672531210,1000,0,360,tlx_633_c_h_14
1672531220,1000,0,360,tlx_633_c_h_14
1672531260,0,0,1240,tlx_633_c_h_14
1672531320,4489,0,1240,tlx_633_c_h_14
1672531380,4484,0,1240,tlx_633_c_h_14
1672531440,4482,0,1240,tlx_633_c_h_14
1672531500,4488,0,1240,tlx_633_c_h_14
1672531560,4492,0,1240,tlx_633_c_h_14
1672531620,4499,0,1240,tlx_633_c_h_14
1672531680,4498,0,1240,tlx_633_c_h_14
1672531740,4505,0,1240,tlx_633_c_h_14
